zip_code,population,median_hh_income,poverty_count,%_poverty
00601,7.0,,0,0.0
00602,73.0,,47,64.38
00603,32.0,,24,75.0
00606,,,0,
00610,1.0,,0,0.0
00611,,,0,
00612,40.0,,4,10.0
00616,,,0,
00617,64.0,,0,0.0
00622,29.0,,11,37.93
00623,169.0,35833.0,83,49.11
00624,,,0,
00627,46.0,,0,0.0
00631,,,0,
00636,,,0,
00637,19.0,,10,52.63
00638,243.0,23971.0,243,100.0
00641,18.0,,0,0.0
00646,32.0,,0,0.0
00647,,,0,
00650,,,0,
00652,37.0,,37,100.0
00653,,,0,
00656,36.0,,0,0.0
00659,144.0,,87,60.42
00660,,,0,
00662,75.0,,66,88.0
00664,,,0,
00667,19.0,,19,100.0
00669,15.0,,15,100.0
00670,,,0,
00674,,,0,
00676,116.0,,116,100.0
00677,20.0,,9,45.0
00678,77.0,,60,77.92
00680,28.0,,8,28.57
00682,43.0,,15,34.88
00683,,,0,
00685,41.0,,0,0.0
00687,12.0,,0,0.0
00688,,,0,
00690,,,0,
00692,,,0,
00693,,,0,
00694,,,0,
00698,24.0,,0,0.0
00703,312.0,,178,57.05
00704,,,0,
00705,130.0,,104,80.0
00707,,,0,
00714,,,0,
00715,,,0,
00716,39.0,,39,100.0
00717,22.0,,0,0.0
00718,,,0,
00719,,,0,
00720,8.0,,8,100.0
00723,,,0,
00725,234.0,38385.0,50,21.37
00727,103.0,,79,76.7
00728,20.0,,7,35.0
00729,38.0,,28,73.68
00730,6.0,,6,100.0
00731,,,0,
00735,36.0,,0,0.0
00736,459.0,,121,26.36
00738,19.0,,19,100.0
00739,262.0,,0,0.0
00740,,,0,
00741,,,0,
00745,107.0,,98,91.59
00751,43.0,,9,20.93
00754,,,0,
00757,10.0,,0,0.0
00765,,,0,
00766,16.0,,16,100.0
00767,,,0,
00769,9.0,,9,100.0
00771,20.0,,20,100.0
00772,,,0,
00773,,,0,
00775,,,0,
00777,38.0,,0,0.0
00778,112.0,,16,14.29
00780,,,0,
00782,,,0,
00783,25.0,,25,100.0
00784,21.0,,1,4.76
00786,,,0,
00791,,,0,
00794,1.0,,0,0.0
00795,8.0,,0,0.0
00901,1.0,,0,0.0
00906,,,0,
00907,27.0,,0,0.0
00909,53.0,,14,26.42
00911,32.0,,0,0.0
00912,13.0,,0,0.0
00913,,,0,
00915,43.0,,13,30.23
00917,8.0,,8,100.0
00918,38.0,,0,0.0
00920,29.0,,0,0.0
00921,150.0,40679.0,70,46.67
00923,,,0,
00924,70.0,,29,41.43
00925,52.0,,52,100.0
00926,277.0,35556.0,131,47.29
00927,60.0,,0,0.0
00934,,,0,
00949,255.0,27976.0,88,34.51
00950,,,0,
00951,,,0,
00952,11.0,,0,0.0
00953,,,0,
00956,63.0,,0,0.0
00957,67.0,,58,86.57
00959,82.0,,0,0.0
00960,,,0,
00961,,,0,
00962,44.0,,0,0.0
00965,,,0,
00966,,,0,
00968,,,0,
00969,127.0,,51,40.16
00971,39.0,,15,38.46
00976,288.0,,245,85.07
00979,52.0,,0,0.0
00982,,,0,
00983,20.0,,11,55.0
00985,,,0,
00987,139.0,49453.0,21,15.11
01001,,,0,
01002,51.0,,43,84.31
01003,,,0,
01005,,,0,
01007,24.0,,0,0.0
01008,,,0,
01009,,,0,
01010,,,0,
01011,,,0,
01012,,,0,
01013,24.0,,0,0.0
01020,29.0,,29,100.0
01022,,,0,
01026,2.0,,0,0.0
01027,,,0,
01028,,,0,
01029,1.0,,0,0.0
01030,,,0,
01031,,,0,
01032,,,0,
01033,,,0,
01034,5.0,,0,0.0
01035,,,0,
01036,,,0,
01037,1.0,,0,0.0
01038,20.0,,20,100.0
01039,14.0,,0,0.0
01040,211.0,,143,67.77
01050,20.0,,0,0.0
01053,,,0,
01054,,,0,
01056,,,0,
01057,,,0,
01060,9.0,,0,0.0
01062,8.0,,4,50.0
01063,,,0,
01066,,,0,
01068,,,0,
01069,,,0,
01070,7.0,,0,0.0
01071,,,0,
01072,,,0,
01073,,,0,
01074,,,0,
01075,,,0,
01077,66.0,,50,75.76
01079,,,0,
01080,,,0,
01081,,,0,
01082,,,0,
01083,,,0,
01084,,,0,
01085,25.0,,0,0.0
01088,,,0,
