zip_code,population,median_hh_income,poverty_count,%_poverty
00601,314.0,,220,70.06
00602,520.0,25364.0,211,40.58
00603,1572.0,18886.0,639,40.65
00606,12.0,,12,100.0
00610,525.0,26979.0,16,3.05
00611,49.0,,34,69.39
00612,1279.0,22269.0,409,31.98
00616,487.0,,378,77.62
00617,678.0,,295,43.51
00622,383.0,39519.0,95,24.8
00623,2052.0,22767.0,872,42.5
00624,358.0,43088.0,113,31.56
00627,727.0,21250.0,475,65.34
00631,8.0,,8,100.0
00636,,,0,
00637,181.0,,95,52.49
00638,922.0,31786.0,361,39.15
00641,389.0,21435.0,117,30.08
00646,2014.0,18703.0,972,48.26
00647,234.0,,200,85.47
00650,98.0,,0,0.0
00652,73.0,,43,58.9
00653,239.0,,135,56.49
00656,407.0,,195,47.91
00659,1441.0,24135.0,185,12.84
00660,516.0,27625.0,110,21.32
00662,2591.0,22008.0,964,37.21
00664,312.0,4290.0,309,99.04
00667,771.0,42212.0,189,24.51
00669,580.0,32900.0,131,22.59
00670,262.0,34844.0,187,71.37
00674,840.0,15833.0,294,35.0
00676,1518.0,36417.0,464,30.57
00677,354.0,26284.0,96,27.12
00678,755.0,,292,38.68
00680,770.0,19069.0,441,57.27
00682,888.0,,232,26.13
00683,307.0,,153,49.84
00685,907.0,16283.0,433,47.74
00687,1336.0,26328.0,666,49.85
00688,84.0,,49,58.33
00690,227.0,21382.0,126,55.51
00692,1429.0,22850.0,526,36.81
00693,2559.0,26087.0,1007,39.35
00694,,,0,
00698,646.0,16677.0,274,42.41
00703,1944.0,21724.0,1238,63.68
00704,559.0,29886.0,31,5.55
00705,1289.0,21513.0,722,56.01
00707,2060.0,28984.0,909,44.13
00714,3094.0,15865.0,2001,64.67
00715,173.0,22639.0,124,71.68
00716,1503.0,17639.0,960,63.87
00717,598.0,19493.0,155,25.92
00718,298.0,,192,64.43
00719,2130.0,22472.0,721,33.85
00720,936.0,27557.0,427,45.62
00723,3269.0,17757.0,1694,51.82
00725,6578.0,30000.0,2472,37.58
00727,4876.0,26219.0,1898,38.93
00728,2166.0,21250.0,935,43.17
00729,6978.0,32647.0,2454,35.17
00730,1343.0,21875.0,693,51.6
00731,390.0,34545.0,138,35.38
00735,534.0,24781.0,158,29.59
00736,3993.0,25446.0,1497,37.49
00738,1817.0,23254.0,855,47.06
00739,3876.0,27899.0,1468,37.87
00740,52.0,,19,36.54
00741,204.0,35139.0,130,63.73
00745,5489.0,40488.0,1599,29.13
00751,2251.0,19833.0,1060,47.09
00754,6269.0,19196.0,2860,45.62
00757,1471.0,23735.0,663,45.07
00765,222.0,,31,13.96
00766,2219.0,22527.0,1227,55.3
00767,5911.0,21667.0,2935,49.65
00769,2769.0,22781.0,1501,54.21
00771,5873.0,26265.0,2664,45.36
00772,6801.0,17997.0,3382,49.73
00773,1131.0,25536.0,163,14.41
00775,22.0,9219.0,16,72.73
00777,5802.0,31136.0,1482,25.54
00778,4195.0,27476.0,1576,37.57
00780,1015.0,14605.0,655,64.53
00782,1786.0,25027.0,979,54.82
00783,2553.0,32689.0,928,36.35
00784,3421.0,15810.0,1458,42.62
00786,61.0,,17,27.87
00791,2579.0,24116.0,1123,43.54
00794,1912.0,25290.0,832,43.51
00795,1962.0,18397.0,1026,52.29
00901,473.0,13625.0,375,79.28
00906,,,0,
00907,1457.0,25250.0,729,50.03
00909,662.0,17826.0,472,71.3
00911,366.0,17868.0,124,33.88
00912,592.0,19672.0,247,41.72
00913,236.0,,132,55.93
00915,2635.0,14418.0,1717,65.16
00917,1130.0,15133.0,758,67.08
00918,680.0,,326,47.94
00920,2819.0,19269.0,1538,54.56
00921,5339.0,21933.0,2725,51.04
00923,2595.0,25675.0,1210,46.63
00924,8171.0,16010.0,4222,51.67
00925,516.0,13209.0,257,49.81
00926,8249.0,31653.0,2885,34.97
00927,756.0,,479,63.36
00934,,,0,
00949,4040.0,29352.0,1020,25.25
00950,,,0,
00951,95.0,,63,66.32
00952,1011.0,29542.0,318,31.45
00953,3064.0,20927.0,1182,38.58
00956,3125.0,32930.0,742,23.74
00957,2431.0,31000.0,794,32.66
