zip_code,population,median_hh_income,poverty_count,%_poverty
00601,19.0,,0,0.0
00602,44.0,,0,0.0
00603,8.0,,0,0.0
00606,15.0,,15,100.0
00610,,,0,
00611,,,0,
00612,517.0,30521.0,217,41.97
00616,152.0,,114,75.0
00617,284.0,15625.0,155,54.58
00622,,,0,
00623,200.0,,0,0.0
00624,24.0,,24,100.0
00627,,,0,
00631,,,0,
00636,,,0,
00637,10.0,,10,100.0
00638,80.0,,80,100.0
00641,67.0,,48,71.64
00646,,,0,
00647,4.0,,0,0.0
00650,233.0,,188,80.69
00652,48.0,,0,0.0
00653,,,0,
00656,20.0,,20,100.0
00659,5.0,,0,0.0
00660,,,0,
00662,33.0,,0,0.0
00664,,,0,
00667,,,0,
00669,,,0,
00670,,,0,
00674,39.0,,24,61.54
00676,,,0,
00677,,,0,
00678,,,0,
00680,33.0,,23,69.7
00682,84.0,,84,100.0
00683,9.0,,0,0.0
00685,,,0,
00687,,,0,
00688,26.0,,26,100.0
00690,,,0,
00692,,,0,
00693,10.0,,0,0.0
00694,,,0,
00698,,,0,
00703,,,0,
00704,,,0,
00705,,,0,
00707,,,0,
00714,,,0,
00715,,,0,
00716,,,0,
00717,12.0,,0,0.0
00718,,,0,
00719,34.0,,0,0.0
00720,,,0,
00723,,,0,
00725,224.0,,160,71.43
00727,186.0,,0,0.0
00728,95.0,,21,22.11
00729,313.0,43276.0,74,23.64
00730,,,0,
00731,,,0,
00735,56.0,,0,0.0
00736,71.0,,71,100.0
00738,147.0,38690.0,40,27.21
00739,23.0,,0,0.0
00740,,,0,
00741,,,0,
00745,161.0,,39,24.22
00751,,,0,
00754,103.0,,103,100.0
00757,31.0,,0,0.0
00765,17.0,,17,100.0
00766,,,0,
00767,11.0,,0,0.0
00769,,,0,
00771,29.0,,0,0.0
00772,19.0,,19,100.0
00773,48.0,,0,0.0
00775,11.0,,0,0.0
00777,28.0,,28,100.0
00778,72.0,,72,100.0
00780,,,0,
00782,,,0,
00783,26.0,,26,100.0
00784,,,0,
00786,,,0,
00791,234.0,250001.0,0,0.0
00794,,,0,
00795,1.0,,0,0.0
00901,1.0,,0,0.0
00906,,,0,
00907,175.0,,0,0.0
00909,15.0,,0,0.0
00911,329.0,2499.0,116,35.26
00912,7.0,,0,0.0
00913,76.0,,0,0.0
00915,21.0,,21,100.0
00917,9.0,,0,0.0
00918,47.0,,0,0.0
00920,,,0,
00921,13.0,,13,100.0
00923,43.0,,34,79.07
00924,14.0,,0,0.0
00925,45.0,,0,0.0
00926,107.0,,84,78.5
00927,39.0,,15,38.46
00934,,,0,
00949,28.0,,0,0.0
00950,,,0,
00951,,,0,
00952,,,0,
00953,120.0,,0,0.0
00956,33.0,,0,0.0
00957,181.0,47132.0,0,0.0
00959,90.0,,42,46.67
00960,,,0,
00961,96.0,,86,89.58
00962,,,0,
00965,30.0,,0,0.0
00966,16.0,,0,0.0
00968,33.0,,0,0.0
00969,101.0,,0,0.0
00971,,,0,
00976,89.0,,0,0.0
00979,95.0,,25,26.32
00982,47.0,,47,100.0
00983,38.0,,0,0.0
00985,54.0,,0,0.0
00987,127.0,,18,14.17
01001,610.0,113590.0,97,15.9
01002,2117.0,59107.0,257,12.14
01003,2801.0,,2,0.07
01005,,,0,
01007,454.0,65882.0,129,28.41
01008,,,0,
01009,,,0,
01010,15.0,,0,0.0
01011,,,0,
01012,,,0,
01013,418.0,35904.0,32,7.66
01020,636.0,78723.0,99,15.57
01022,51.0,,0,0.0
01026,,,0,
01027,225.0,109009.0,0,0.0
01028,300.0,115833.0,0,0.0
01029,,,0,
01030,59.0,,0,0.0
01031,,,0,
01032,,,0,
01033,23.0,,0,0.0
01034,7.0,,0,0.0
01035,122.0,206307.0,4,3.28
01036,31.0,,0,0.0
01037,8.0,,0,0.0
01038,16.0,,1,6.25
01039,,,0,
01040,314.0,64058.0,2,0.64
01050,,,0,
01053,18.0,,0,0.0
01054,66.0,,7,10.61
01056,172.0,103681.0,0,0.0
01057,133.0,144020.0,62,46.62
01060,448.0,63750.0,70,15.62
01062,79.0,118516.0,0,0.0
01063,548.0,,0,0.0
01066,,,0,
01068,,,0,
01069,,,0,
01070,1.0,,0,0.0
01071,1.0,,0,0.0
01072,10.0,,0,0.0
01073,77.0,,0,0.0
01074,,,0,
01075,838.0,,55,6.56
01077,90.0,,0,0.0
01079,,,0,
