zip_code,population,median_hh_income,poverty_count,%_poverty
00601,16630.0,18522.0,10153,61.05
00602,35950.0,21572.0,16996,47.28
00603,47521.0,18978.0,22452,47.25
00606,5373.0,20167.0,2955,55.0
00610,24663.0,23500.0,10941,44.36
00611,1488.0,22566.0,610,40.99
00612,62014.0,23873.0,25048,40.39
00616,9783.0,21391.0,4330,44.26
00617,22495.0,21825.0,10171,45.21
00622,7840.0,27143.0,3468,44.23
00623,38654.0,25577.0,14360,37.15
00624,21217.0,21209.0,10803,50.92
00627,32451.0,26166.0,12500,38.52
00631,1357.0,18295.0,739,54.46
00636,1071.0,,841,78.52
00637,22663.0,20642.0,10069,44.43
00638,17337.0,20968.0,9992,57.63
00641,23532.0,17830.0,12547,53.32
00646,35065.0,32760.0,10460,29.83
00647,4556.0,20357.0,2801,61.48
00650,13437.0,19764.0,7090,52.76
00652,4415.0,30968.0,1449,32.82
00653,8613.0,15206.0,5627,65.33
00656,17761.0,21641.0,8668,48.8
00659,36977.0,27102.0,13632,36.87
00660,15156.0,24688.0,6116,40.35
00662,39885.0,20472.0,18456,46.27
00664,14573.0,18263.0,8049,55.23
00667,22639.0,18729.0,11764,51.96
00669,27268.0,19242.0,14803,54.29
00670,8513.0,16420.0,4537,53.29
00674,38327.0,20012.0,17835,46.53
00676,36626.0,21344.0,16731,45.68
00677,14699.0,23587.0,6625,45.07
00678,24356.0,23084.0,10975,45.06
00680,42662.0,17829.0,22085,51.77
00682,29424.0,17900.0,15710,53.39
00683,29165.0,18253.0,14572,49.96
00685,39402.0,17780.0,20566,52.2
00687,28505.0,23010.0,13850,48.59
00688,10939.0,18014.0,5645,51.6
00690,6259.0,24490.0,3108,49.66
00692,32493.0,25427.0,13174,40.54
00693,54703.0,24062.0,22971,41.99
00694,125.0,15938.0,59,47.2
00698,32679.0,22011.0,14492,44.35
00703,24543.0,22147.0,10890,44.37
00704,6331.0,23330.0,2788,44.04
00705,24427.0,21886.0,10867,44.49
00707,10362.0,19236.0,5482,52.9
00714,15474.0,19082.0,8393,54.24
00715,2003.0,15743.0,1329,66.35
00716,27459.0,19398.0,13494,49.14
00717,14497.0,13304.0,7469,51.52
00718,22928.0,21401.0,11034,48.12
00719,29720.0,21089.0,15034,50.59
00720,20825.0,19291.0,10783,51.78
00723,15835.0,23599.0,7528,47.54
00725,74728.0,27713.0,29437,39.39
00727,52533.0,33087.0,16728,31.84
00728,37080.0,20244.0,17999,48.54
00729,47611.0,28717.0,15732,33.04
00730,31693.0,18010.0,16480,52.0
00731,10221.0,16917.0,5744,56.2
00735,10962.0,22626.0,4609,42.05
00736,45378.0,28631.0,16699,36.8
00738,29553.0,25365.0,12043,40.75
00739,34484.0,26763.0,12689,36.8
00740,1910.0,23173.0,1021,53.46
00741,3705.0,25496.0,1891,51.04
00745,46719.0,26990.0,17006,36.4
00751,19479.0,20799.0,9568,49.12
00754,36697.0,21233.0,16378,44.63
00757,19848.0,23200.0,9063,45.66
00765,7803.0,17206.0,4850,62.16
00766,21751.0,24906.0,9081,41.75
00767,30317.0,21263.0,14904,49.16
00769,33853.0,20477.0,17630,52.08
00771,35066.0,25699.0,13261,37.82
00772,16904.0,18331.0,8675,51.32
00773,17437.0,23832.0,7646,43.85
00775,1170.0,27557.0,235,20.09
00777,37124.0,28251.0,12532,33.76
00778,39128.0,39580.0,12522,32.0
00780,13556.0,26483.0,5512,40.66
00782,18397.0,17090.0,9816,53.36
00783,34133.0,24364.0,14765,43.26
00784,35301.0,20266.0,16183,45.84
00786,135.0,,72,53.33
00791,45299.0,25717.0,17079,37.7
00794,28417.0,22128.0,14008,49.29
00795,43086.0,23404.0,18572,43.1
00901,6329.0,25156.0,2228,35.2
00906,23.0,,0,0.0
00907,14793.0,43159.0,3627,24.52
00909,5250.0,25466.0,2311,44.02
00911,6188.0,42931.0,1738,28.09
00912,6147.0,29801.0,1861,30.27
00913,6166.0,5656.0,4646,75.35
00915,24156.0,14423.0,15914,65.88
00917,18161.0,19557.0,9067,49.93
00918,16193.0,36742.0,4725,29.18
00920,16296.0,29956.0,5936,36.43
00921,33964.0,21721.0,15345,45.18
00923,24553.0,18477.0,12134,49.42
00924,47384.0,22408.0,21886,46.19
00925,4627.0,14985.0,2436,52.65
00926,92128.0,39383.0,23597,25.61
00927,13309.0,39537.0,3192,23.98
00934,32.0,,0,0.0
00949,66187.0,33352.0,21243,32.1
00950,,,0,
00951,399.0,22222.0,213,53.38
00952,8488.0,21960.0,3388,39.92
00953,65905.0,33803.0,21773,33.04
00956,66577.0,28638.0,24492,36.79
00957,39972.0,29593.0,13610,34.05
00959,45345.0,31193.0,15727,34.68
00960,3243.0,,34,1.05
00961,28594.0,37389.0,8017,28.04
00962,18939.0,19947.0,9407,49.67
00965,5741.0,16219.0,2719,47.36
00966,17365.0,55394.0,3308,19.05
00968,3382.0,60032.0,339,10.02
00969,40727.0,57810.0,8329,20.45
00971,25450.0,32143.0,8189,32.18
00976,60852.0,38247.0,18094,29.73
00979,14859.0,34805.0,3456,23.26
00982,13709.0,26571.0,5675,41.4
00983,31362.0,33984.0,9773,31.16
00985,31493.0,35047.0,8647,27.46
00987,54393.0,40112.0,14976,27.53
01001,1265.0,39762.0,263,20.79
01002,2327.0,51923.0,596,25.61
01003,942.0,,0,0.0
01005,299.0,,126,42.14
01007,919.0,,275,29.92
01008,48.0,54861.0,0,0.0
01009,,,0,
01010,,,0,
01011,10.0,,5,50.0
01012,10.0,,0,0.0
01013,7869.0,49750.0,2170,27.58
01020,6215.0,37189.0,1792,28.83
01022,189.0,,77,40.74
01026,26.0,,0,0.0
01027,1419.0,65299.0,377,26.57
01028,880.0,108607.0,8,0.91
01029,8.0,,3,37.5
01030,522.0,,13,2.49
01031,152.0,,0,0.0
01032,5.0,,0,0.0
01033,218.0,,0,0.0
01034,40.0,,0,0.0
01035,345.0,,46,13.33
01036,210.0,127829.0,0,0.0
01037,,,0,
01038,143.0,,41,28.67
01039,68.0,,0,0.0
01040,19563.0,35446.0,6559,33.53
01050,70.0,207083.0,4,5.71
01053,83.0,,30,36.14
01054,64.0,195313.0,23,35.94
01056,2050.0,55344.0,150,7.32
01057,413.0,160216.0,129,31.23
01060,1823.0,48958.0,339,18.6
01062,643.0,24555.0,216,33.59
01063,183.0,,0,0.0
01066,,,0,
01068,20.0,,5,25.0
01069,463.0,,21,4.54
01070,12.0,,0,0.0
01071,53.0,,0,0.0
01072,163.0,97813.0,10,6.13
01073,200.0,250001.0,20,10.0
01074,,,0,
01075,1226.0,70625.0,124,10.11
01077,431.0,100658.0,25,5.8
01079,41.0,,41,100.0
01080,75.0,,0,0.0
01081,51.0,86429.0,3,5.88
01082,567.0,,195,34.39
01083,156.0,,0,0.0
01084,,,0,
01085,4075.0,72398.0,553,13.57
01088,28.0,,0,0.0
01089,3745.0,47527.0,707,18.88
01092,,,0,
01093,,,0,
01094,,,0,
01095,806.0,121181.0,41,5.09
01096,55.0,,1,1.82
01097,,,0,
01098,34.0,84000.0,2,5.88
01103,1191.0,15803.0,670,56.26
01104,13003.0,37758.0,3289,25.29
01105,8463.0,22004.0,4288,50.67
01106,525.0,140190.0,50,9.52
01107,9998.0,23371.0,4081,40.82
01108,11338.0,36155.0,4318,38.08
01109,14257.0,42899.0,4411,30.94
01118,3457.0,41042.0,1308,37.84
01119,4663.0,70789.0,666,14.28
01128,656.0,102371.0,65,9.91
01129,1796.0,100897.0,477,26.56
01144,,,0,
01151,4539.0,58825.0,756,16.66
01201,3927.0,69336.0,690,17.57
01220,200.0,55069.0,94,47.0
01222,27.0,,0,0.0
01223,78.0,,0,0.0
01224,,,0,
01225,6.0,,1,16.67
01226,196.0,81190.0,0,0.0
01229,,,0,
01230,601.0,81541.0,0,0.0
01235,74.0,,45,60.81
01236,34.0,,0,0.0
01237,3.0,,0,0.0
01238,176.0,19047.0,16,9.09
01240,302.0,,136,45.03
01242,,,0,
01243,2.0,,0,0.0
01244,13.0,,0,0.0
01245,81.0,,51,62.96
01247,818.0,112794.0,254,31.05
01253,15.0,,0,0.0
01254,20.0,,6,30.0
01255,27.0,,12,44.44
01256,12.0,,7,58.33
01257,89.0,183229.0,0,0.0
01258,,,0,
01259,48.0,,0,0.0
01260,,,0,
01262,32.0,,0,0.0
01264,3.0,,0,0.0
01266,40.0,74479.0,0,0.0
01267,319.0,,63,19.75
01270,12.0,,0,0.0
01301,1077.0,,293,27.21
01330,109.0,,1,0.92
01331,723.0,,85,11.76
01337,34.0,,0,0.0
01338,3.0,,0,0.0
01339,20.0,,2,10.0
01340,55.0,,3,5.45
01341,68.0,97604.0,19,27.94
01342,52.0,,0,0.0
01343,15.0,,0,0.0
01344,25.0,,12,48.0
01346,25.0,,0,0.0
01347,,,0,
01349,5.0,,2,40.0
01350,11.0,,4,36.36
01351,104.0,,14,13.46
01354,14.0,,0,0.0
01355,27.0,,15,55.56
01360,113.0,,0,0.0
01364,539.0,,249,46.2
01366,46.0,,24,52.17
01367,15.0,,0,0.0
01368,35.0,,0,0.0
01370,204.0,81951.0,5,2.45
01373,309.0,,16,5.18
01375,210.0,,0,0.0
01376,299.0,20303.0,130,43.48
01378,25.0,56563.0,0,0.0
01379,61.0,,7,11.48
01380,,,0,
01420,12707.0,66752.0,3215,25.3
01430,292.0,156250.0,93,31.85
01431,111.0,201176.0,0,0.0
01432,1208.0,135953.0,148,12.25
01434,248.0,,28,11.29
01436,135.0,153409.0,0,0.0
01438,,,0,
01440,1981.0,63717.0,440,22.21
01450,440.0,250001.0,16,3.64
01451,418.0,250001.0,0,0.0
01452,128.0,,2,1.56
01453,7490.0,63445.0,1032,13.78
01460,254.0,,47,18.5
01462,796.0,,24,3.02
01463,403.0,157212.0,0,0.0
01464,643.0,125688.0,0,0.0
01468,308.0,107153.0,0,0.0
01469,213.0,,1,0.47
01473,185.0,100991.0,7,3.78
01474,140.0,,0,0.0
01475,396.0,,15,3.79
01501,906.0,76985.0,123,13.58
01503,96.0,,0,0.0
01504,480.0,,6,1.25
01505,193.0,104091.0,8,4.15
01506,100.0,,14,14.0
01507,556.0,,94,16.91
01510,2855.0,89345.0,484,16.95
01515,132.0,,2,1.52
01516,508.0,250001.0,109,21.46
01518,93.0,,2,2.15
01519,245.0,,45,18.37
01520,1046.0,,4,0.38
01521,84.0,,4,4.76
01522,35.0,,0,0.0
01523,830.0,51096.0,81,9.76
01524,284.0,,127,44.72
01525,,,0,
01527,718.0,136655.0,3,0.42
01529,39.0,,1,2.56
01531,3.0,,0,0.0
01532,360.0,140288.0,9,2.5
01534,400.0,,76,19.0
01535,42.0,,0,0.0
01536,498.0,,297,59.64
01537,,,0,
01540,721.0,,158,21.91
01541,77.0,,14,18.18
01542,111.0,,0,0.0
01543,387.0,,0,0.0
01545,1791.0,112045.0,88,4.91
01550,7160.0,46493.0,1604,22.4
01560,163.0,,0,0.0
01561,,,0,
01562,529.0,71324.0,3,0.57
01564,481.0,,11,2.29
01566,221.0,135918.0,12,5.43
01568,443.0,,0,0.0
01569,431.0,136260.0,38,8.82
01570,3390.0,65335.0,936,27.61
01571,436.0,95433.0,36,8.26
01581,1687.0,125250.0,389,23.06
01583,490.0,195357.0,28,5.71
01585,332.0,,34,10.24
01588,1141.0,,252,22.09
01590,345.0,,10,2.9
01602,3798.0,55793.0,453,11.93
01603,5755.0,58180.0,883,15.34
01604,7657.0,63217.0,1568,20.48
01605,10438.0,48433.0,2428,23.26
01606,3107.0,88750.0,297,9.56
01607,1895.0,60917.0,264,13.93
01608,2380.0,37376.0,1166,48.99
01609,4181.0,24454.0,1347,32.22
01610,12028.0,42842.0,4263,35.44
01611,142.0,,65,45.77
01612,269.0,177813.0,13,4.83
01701,3494.0,116844.0,516,14.77
01702,9995.0,66528.0,2160,21.61
01718,31.0,,0,0.0
01719,38.0,192981.0,3,7.89
01720,869.0,154009.0,21,2.42
01721,1418.0,105139.0,153,10.79
01730,581.0,198563.0,64,11.02
01731,748.0,60590.0,0,0.0
01740,302.0,,4,1.32
01741,103.0,,0,0.0
01742,918.0,250001.0,21,2.29
01745,,,0,
01746,705.0,67143.0,71,10.07
01747,299.0,162125.0,43,14.38
01748,611.0,247740.0,43,7.04
01749,1197.0,75714.0,103,8.6
01752,6975.0,67500.0,735,10.54
01754,375.0,131250.0,0,0.0
01756,255.0,,0,0.0
01757,4613.0,68880.0,207,4.49
01760,1247.0,113539.0,89,7.14
01770,84.0,,0,0.0
01772,386.0,210313.0,19,4.92
01773,180.0,,116,64.44
01775,184.0,250001.0,30,16.3
01776,693.0,250001.0,6,0.87
01778,722.0,250001.0,80,11.08
01801,2420.0,101071.0,382,15.79
01803,1116.0,,68,6.09
01810,2884.0,151164.0,52,1.8
01821,1119.0,121875.0,193,17.25
01824,1593.0,175278.0,101,6.34
01826,2875.0,124506.0,211,7.34
01827,170.0,250001.0,0,0.0
01830,7942.0,65176.0,1713,21.57
01832,7426.0,80329.0,1161,15.63
01833,241.0,135792.0,6,2.49
01834,124.0,,0,0.0
01835,2391.0,101696.0,110,4.6
01840,6150.0,34313.0,1676,27.25
01841,45812.0,55204.0,9050,19.75
01843,20666.0,63085.0,3482,16.85
01844,17388.0,75441.0,2429,13.97
01845,2591.0,76828.0,443,17.1
01850,5056.0,69002.0,966,19.11
01851,4609.0,72821.0,994,21.57
01852,6313.0,56746.0,1231,19.5
01854,6210.0,50299.0,1614,25.99
01860,42.0,,1,2.38
01862,1074.0,45000.0,143,13.31
01863,387.0,120667.0,12,3.1
01864,326.0,119034.0,7,2.15
01867,1171.0,176875.0,34,2.9
01876,1307.0,74288.0,35,2.68
01879,887.0,62296.0,16,1.8
01880,668.0,112688.0,223,33.38
01886,640.0,210212.0,33,5.16
01887,578.0,205293.0,55,9.52
01890,724.0,,149,20.58
01901,644.0,,363,56.37
01902,25793.0,61936.0,4479,17.37
01904,5461.0,86282.0,516,9.45
01905,10960.0,70474.0,1331,12.14
01906,3508.0,130386.0,131,3.73
01907,1106.0,145208.0,47,4.25
01908,41.0,,0,0.0
01913,664.0,129598.0,54,8.13
01915,2391.0,66875.0,464,19.41
01921,212.0,250001.0,0,0.0
01922,117.0,,29,24.79
01923,1339.0,74895.0,240,17.92
