zip_code,population,median_hh_income,poverty_count,%_poverty
00601,1120.0,15000.0,710,63.39
00602,1732.0,14631.0,1088,62.82
00603,6231.0,20965.0,2714,43.56
00606,1332.0,23774.0,717,53.83
00610,2437.0,22240.0,958,39.31
00611,547.0,20109.0,267,48.81
00612,16392.0,20323.0,8269,50.45
00616,2189.0,20625.0,1068,48.79
00617,5306.0,28214.0,2158,40.67
00622,2435.0,23906.0,1230,50.51
00623,10535.0,25035.0,4348,41.27
00624,2928.0,19874.0,1700,58.06
00627,5087.0,31997.0,2000,39.32
00631,53.0,,35,66.04
00636,247.0,,132,53.44
00637,6594.0,23297.0,2710,41.1
00638,1497.0,24776.0,695,46.43
00641,8561.0,17545.0,4895,57.18
00646,3988.0,33806.0,1256,31.49
00647,1795.0,27920.0,1052,58.61
00650,2823.0,10920.0,2007,71.09
00652,548.0,24292.0,227,41.42
00653,2571.0,16939.0,1662,64.64
00656,2181.0,18919.0,841,38.56
00659,4504.0,36360.0,1725,38.3
00660,9376.0,24132.0,4267,45.51
00662,9978.0,19423.0,4704,47.14
00664,4695.0,14594.0,2767,58.94
00667,7648.0,16742.0,4406,57.61
00669,2725.0,15867.0,1637,60.07
00670,2373.0,15947.0,1181,49.77
00674,6265.0,17448.0,3025,48.28
00676,4190.0,24814.0,1987,47.42
00677,1056.0,25121.0,421,39.87
00678,5938.0,26179.0,2203,37.1
00680,31073.0,16876.0,17185,55.31
00682,21606.0,15954.0,12586,58.25
00683,6627.0,16578.0,3721,56.15
00685,6463.0,17457.0,3623,56.06
00687,3399.0,25530.0,1574,46.31
00688,5911.0,13575.0,3439,58.18
00690,632.0,,195,30.85
00692,8429.0,22963.0,3650,43.3
00693,11515.0,23636.0,5381,46.73
00694,55.0,,31,56.36
00698,4610.0,15373.0,2172,47.11
00703,6129.0,21000.0,2985,48.7
00704,386.0,,138,35.75
00705,1077.0,29784.0,421,39.09
00707,6615.0,18253.0,3645,55.1
00714,2687.0,21641.0,1328,49.42
00715,252.0,,57,22.62
00716,2864.0,27344.0,1162,40.57
00717,1762.0,10682.0,860,48.81
00718,17288.0,20798.0,8731,50.5
00719,1840.0,28462.0,470,25.54
00720,3103.0,14387.0,1954,62.97
00723,11065.0,26386.0,5171,46.73
00725,17923.0,25668.0,7651,42.69
00727,12702.0,35775.0,3629,28.57
00728,5118.0,31121.0,2293,44.8
00729,18366.0,23011.0,6762,36.82
00730,2105.0,17911.0,1076,51.12
00731,542.0,17171.0,217,40.04
00735,7152.0,21084.0,3292,46.03
00736,12695.0,25080.0,4987,39.28
00738,10048.0,26614.0,3959,39.4
00739,10859.0,24861.0,4025,37.07
00740,768.0,,508,66.15
00741,2832.0,29444.0,1434,50.64
00745,15758.0,21482.0,6585,41.79
00751,999.0,21000.0,438,43.84
00754,26050.0,21377.0,11840,45.45
00757,956.0,26691.0,351,36.72
00765,6252.0,17100.0,4155,66.46
00766,2755.0,21821.0,1179,42.79
00767,21437.0,20969.0,10557,49.25
00769,1381.0,17994.0,896,64.88
00771,25580.0,25548.0,9650,37.72
00772,7693.0,17893.0,4154,54.0
00773,6440.0,20191.0,3534,54.88
00775,892.0,28693.0,190,21.3
00777,11056.0,24502.0,4106,37.14
00778,11809.0,42595.0,3622,30.67
00780,736.0,49741.0,120,16.3
00782,2342.0,15772.0,1212,51.75
00783,5942.0,27596.0,2584,43.49
00784,4872.0,17959.0,2686,55.13
00786,,,0,
00791,33951.0,24798.0,13025,38.36
00794,2735.0,30122.0,1198,43.8
00795,1812.0,38269.0,517,28.53
00901,1200.0,22793.0,456,38.0
00906,,,0,
00907,2591.0,28464.0,936,36.13
00909,1551.0,19702.0,896,57.77
00911,1516.0,25417.0,505,33.31
00912,2578.0,27500.0,792,30.72
00913,3795.0,5056.0,3000,79.05
00915,14553.0,12821.0,9968,68.49
00917,7566.0,17729.0,4731,62.53
00918,4027.0,30203.0,1478,36.7
00920,3294.0,25801.0,1376,41.77
00921,6958.0,20316.0,3959,56.9
00923,10743.0,13137.0,6185,57.57
00924,11429.0,16731.0,6106,53.43
00925,1534.0,8993.0,1064,69.36
00926,15998.0,29552.0,5134,32.09
00927,2069.0,31125.0,924,44.66
00934,,,0,
00949,28429.0,31367.0,10198,35.87
00950,,,0,
00951,125.0,23990.0,11,8.8
00952,4132.0,26600.0,1669,40.39
00953,13074.0,40550.0,4048,30.96
00956,21926.0,29429.0,9338,42.59
00957,13681.0,31113.0,5078,37.12
00959,15709.0,32412.0,4997,31.81
00960,1070.0,,0,0.0
00961,9207.0,36239.0,2772,30.11
00962,3967.0,20259.0,1821,45.9
00965,1021.0,15769.0,472,46.23
00966,3542.0,47042.0,1004,28.35
00968,629.0,61324.0,74,11.76
00969,10868.0,66518.0,2801,25.77
00971,8062.0,32827.0,2703,33.53
00976,8207.0,36883.0,2072,25.25
00979,5474.0,35340.0,1161,21.21
00982,4704.0,25477.0,2070,44.01
00983,9883.0,29172.0,3652,36.95
00985,10896.0,27175.0,3548,32.56
00987,17795.0,39147.0,5123,28.79
01001,247.0,,74,29.96
01002,640.0,,159,24.84
01003,69.0,,0,0.0
01005,,,0,
01007,343.0,,152,44.31
01008,,,0,
01009,,,0,
01010,65.0,,0,0.0
01011,21.0,,15,71.43
01012,,,0,
01013,3267.0,51711.0,972,29.75
01020,1259.0,36327.0,288,22.88
01022,84.0,,51,60.71
01026,4.0,,0,0.0
01027,390.0,102269.0,142,36.41
01028,423.0,108155.0,6,1.42
01029,,,0,
01030,128.0,,2,1.56
01031,42.0,,0,0.0
01032,5.0,,0,0.0
01033,104.0,,0,0.0
01034,6.0,,0,0.0
01035,52.0,,21,40.38
01036,118.0,,0,0.0
01037,,,0,
01038,92.0,86354.0,21,22.83
01039,8.0,,0,0.0
01040,4044.0,30880.0,1476,36.5
01050,3.0,,3,100.0
01053,42.0,,8,19.05
01054,3.0,,0,0.0
01056,418.0,,49,11.72
01057,81.0,,5,6.17
01060,831.0,,100,12.03
01062,353.0,24144.0,158,44.76
01063,12.0,,0,0.0
01066,,,0,
01068,12.0,,0,0.0
01069,78.0,,21,26.92
01070,4.0,,1,25.0
01071,14.0,,0,0.0
01072,20.0,,5,25.0
01073,8.0,,0,0.0
01074,,,0,
01075,159.0,,11,6.92
01077,205.0,138750.0,0,0.0
01079,41.0,,41,100.0
01080,13.0,,0,0.0
01081,22.0,,2,9.09
01082,255.0,,54,21.18
01083,,,0,
01084,,,0,
01085,1448.0,83167.0,288,19.89
01088,,,0,
01089,1607.0,49268.0,176,10.95
01092,,,0,
01093,,,0,
01094,,,0,
01095,138.0,,20,14.49
01096,,,0,
01097,,,0,
01098,6.0,,0,0.0
01103,218.0,13839.0,123,56.42
01104,2715.0,42216.0,838,30.87
01105,2294.0,18333.0,1359,59.24
01106,15.0,,15,100.0
01107,3019.0,14148.0,1447,47.93
01108,3929.0,51250.0,1841,46.86
01109,4022.0,49877.0,789,19.62
01118,942.0,57590.0,288,30.57
01119,1148.0,90179.0,199,17.33
01128,106.0,,0,0.0
01129,309.0,,178,57.61
01144,,,0,
01151,1218.0,62371.0,94,7.72
01201,1286.0,62321.0,327,25.43
01220,56.0,,16,28.57
01222,20.0,,0,0.0
01223,8.0,,0,0.0
01224,,,0,
01225,,,0,
01226,5.0,,0,0.0
01229,,,0,
01230,447.0,81192.0,0,0.0
01235,18.0,,18,100.0
01236,,,0,
01237,,,0,
01238,162.0,,16,9.88
01240,221.0,,112,50.68
01242,,,0,
01243,,,0,
01244,,,0,
01245,51.0,,51,100.0
01247,239.0,135042.0,1,0.42
01253,,,0,
01254,6.0,,0,0.0
01255,,,0,
01256,7.0,,0,0.0
01257,11.0,,0,0.0
01258,,,0,
01259,10.0,,0,0.0
01260,,,0,
01262,,,0,
01264,,,0,
01266,20.0,,0,0.0
01267,176.0,250001.0,0,0.0
01270,,,0,
01301,587.0,,197,33.56
01330,77.0,,1,1.3
01331,252.0,59231.0,64,25.4
01337,6.0,,0,0.0
01338,3.0,,0,0.0
01339,23.0,,0,0.0
01340,,,0,
01341,8.0,,0,0.0
01342,,,0,
01343,10.0,,0,0.0
01344,,,0,
01346,,,0,
01347,15.0,,0,0.0
01349,,,0,
01350,,,0,
01351,,,0,
01354,6.0,,0,0.0
01355,78.0,81287.0,2,2.56
01360,20.0,,0,0.0
01364,9.0,,0,0.0
01366,25.0,,0,0.0
01367,16.0,,0,0.0
01368,57.0,,22,38.6
01370,50.0,,0,0.0
01373,,,0,
01375,70.0,,0,0.0
01376,243.0,17245.0,126,51.85
01378,3.0,,0,0.0
01379,9.0,,0,0.0
01380,,,0,
01420,3227.0,40840.0,797,24.7
01430,73.0,,0,0.0
01431,,,0,
01432,379.0,,41,10.82
01434,2.0,,2,100.0
01436,71.0,,0,0.0
01438,,,0,
01440,522.0,71348.0,93,17.82
01450,71.0,,29,40.85
01451,,,0,
01452,18.0,,0,0.0
01453,2719.0,53000.0,719,26.44
01460,140.0,141053.0,27,19.29
01462,432.0,143144.0,23,5.32
01463,58.0,,0,0.0
01464,351.0,,0,0.0
01468,,,0,
01469,46.0,,1,2.17
01473,,,0,
01474,56.0,,0,0.0
01475,164.0,,0,0.0
01501,236.0,,11,4.66
01503,25.0,,0,0.0
01504,171.0,,6,3.51
01505,33.0,,0,0.0
01506,109.0,,21,19.27
01507,76.0,,0,0.0
01510,1000.0,109161.0,113,11.3
01515,28.0,,2,7.14
01516,180.0,,0,0.0
01518,54.0,,0,0.0
01519,67.0,,11,16.42
01520,156.0,227778.0,0,0.0
01521,,,0,
01522,,,0,
01523,158.0,,0,0.0
01524,106.0,,43,40.57
01525,,,0,
01527,192.0,,2,1.04
01529,101.0,,1,0.99
01531,3.0,,0,0.0
01532,414.0,,4,0.97
01534,67.0,,1,1.49
01535,14.0,,0,0.0
01536,49.0,,8,16.33
01537,,,0,
01540,302.0,118333.0,0,0.0
01541,37.0,,27,72.97
01542,57.0,,0,0.0
01543,53.0,,0,0.0
01545,631.0,,30,4.75
01550,1252.0,65819.0,168,13.42
01560,161.0,,0,0.0
01561,,,0,
01562,275.0,,0,0.0
01564,41.0,,11,26.83
01566,141.0,,12,8.51
01568,95.0,,32,33.68
01569,171.0,,0,0.0
01570,1540.0,69427.0,341,22.14
01571,154.0,,0,0.0
01581,1274.0,72219.0,256,20.09
01583,210.0,137750.0,30,14.29
01585,56.0,,12,21.43
01588,350.0,152344.0,0,0.0
01590,234.0,70478.0,42,17.95
01602,1076.0,50223.0,167,15.52
01603,1084.0,,40,3.69
01604,3289.0,44472.0,634,19.28
01605,2615.0,51803.0,448,17.13
01606,1121.0,,350,31.22
01607,546.0,,257,47.07
01608,351.0,37318.0,102,29.06
01609,1325.0,45943.0,548,41.36
01610,3661.0,50919.0,1252,34.2
01611,72.0,,65,90.28
01612,45.0,,0,0.0
01701,2249.0,83363.0,236,10.49
01702,7996.0,72567.0,937,11.72
01718,,,0,
01719,55.0,,55,100.0
01720,397.0,158681.0,9,2.27
01721,717.0,122798.0,15,2.09
01730,187.0,,102,54.55
01731,504.0,,0,0.0
01740,107.0,,4,3.74
01741,32.0,,0,0.0
01742,309.0,,1,0.32
01745,,,0,
01746,338.0,95777.0,57,16.86
01747,,,0,
01748,429.0,,0,0.0
01749,1002.0,78750.0,62,6.19
01752,5820.0,64343.0,887,15.24
01754,122.0,,40,32.79
01756,101.0,,0,0.0
01757,2650.0,64145.0,434,16.38
01760,586.0,68657.0,26,4.44
01770,11.0,,0,0.0
01772,372.0,191518.0,16,4.3
01773,,,0,
01775,242.0,,10,4.13
01776,129.0,250001.0,0,0.0
01778,342.0,,70,20.47
01801,1635.0,95647.0,349,21.35
01803,382.0,,20,5.24
01810,704.0,,40,5.68
01821,473.0,95461.0,25,5.29
01824,690.0,113504.0,67,9.71
01826,692.0,127074.0,5,0.72
01827,4.0,,0,0.0
01830,2271.0,47313.0,581,25.58
01832,3725.0,82237.0,438,11.76
01833,30.0,,0,0.0
01834,38.0,,0,0.0
01835,900.0,105417.0,63,7.0
01840,4649.0,34401.0,1214,26.11
01841,28575.0,54209.0,6742,23.59
01843,13024.0,66830.0,2232,17.14
01844,10029.0,78277.0,1392,13.88
01845,929.0,,233,25.08
01850,1394.0,72752.0,221,15.85
01851,2382.0,52860.0,355,14.9
01852,3466.0,73377.0,621,17.92
01854,1608.0,61299.0,272,16.92
01860,1.0,,1,100.0
01862,839.0,,113,13.47
01863,248.0,141429.0,0,0.0
01864,110.0,,7,6.36
01867,192.0,,29,15.1
01876,221.0,172500.0,20,9.05
01879,486.0,,2,0.41
01880,347.0,,147,42.36
01886,464.0,211077.0,33,7.11
01887,113.0,,23,20.35
01890,341.0,,149,43.7
01901,245.0,21678.0,106,43.27
01902,14148.0,53073.0,2897,20.48
01904,3116.0,79918.0,153,4.91
01905,4528.0,51341.0,649,14.33
01906,1549.0,76382.0,137,8.84
01907,144.0,,54,37.5
01908,9.0,,0,0.0
01913,236.0,,5,2.12
01915,724.0,,181,25.0
01921,93.0,,58,62.37
