zip_code,population,median_hh_income,poverty_count,%_poverty
00601,16721.0,18571.0,10199,61.0
00602,37510.0,21702.0,17504,46.66
00603,48317.0,19243.0,22683,46.95
00606,5435.0,20226.0,2984,54.9
00610,25413.0,23732.0,11145,43.86
00611,1522.0,22566.0,610,40.08
00612,62462.0,23831.0,25221,40.38
00616,9836.0,21391.0,4383,44.56
00617,22699.0,22010.0,10185,44.87
00622,7950.0,26682.0,3517,44.24
00623,39005.0,25614.0,14496,37.16
00624,21374.0,21091.0,10916,51.07
00627,32753.0,26094.0,12696,38.76
00631,1357.0,18295.0,739,54.46
00636,1071.0,,841,78.52
00637,22884.0,20665.0,10146,44.34
00638,17410.0,20878.0,10040,57.67
00641,23962.0,17839.0,12807,53.45
00646,36099.0,33184.0,10583,29.32
00647,4611.0,20357.0,2852,61.85
00650,13457.0,19811.0,7090,52.69
00652,4492.0,31653.0,1472,32.77
00653,8665.0,15225.0,5632,65.0
00656,17815.0,21511.0,8695,48.81
00659,37203.0,27297.0,13713,36.86
00660,15439.0,24829.0,6171,39.97
00662,40705.0,20673.0,18888,46.4
00664,14816.0,18065.0,8160,55.08
00667,23116.0,18729.0,12174,52.66
00669,27534.0,19198.0,14988,54.43
00670,8553.0,16278.0,4574,53.48
00674,39288.0,20039.0,18162,46.23
00676,36836.0,21230.0,16834,45.7
00677,15432.0,24746.0,6870,44.52
00678,24848.0,22994.0,11209,45.11
00680,42817.0,17857.0,22153,51.74
00682,29939.0,18067.0,15900,53.11
00683,29431.0,18231.0,14721,50.02
00685,40323.0,17909.0,20937,51.92
00687,28534.0,23010.0,13879,48.64
00688,10985.0,18014.0,5691,51.81
00690,6275.0,24386.0,3108,49.53
00692,32717.0,25486.0,13201,40.35
00693,55725.0,24072.0,23418,42.02
00694,125.0,15938.0,59,47.2
00698,32945.0,21921.0,14695,44.6
00703,24642.0,22147.0,10963,44.49
00704,6433.0,23330.0,2788,43.34
00705,24475.0,21806.0,10901,44.54
00707,10400.0,19173.0,5520,53.08
00714,15573.0,18931.0,8463,54.34
00715,2003.0,15743.0,1329,66.35
00716,27705.0,19522.0,13557,48.93
00717,14651.0,13282.0,7520,51.33
00718,23174.0,21481.0,11068,47.76
00719,29732.0,21089.0,15034,50.57
00720,20974.0,19049.0,10894,51.94
00723,15835.0,23599.0,7528,47.54
00725,76246.0,27505.0,30008,39.36
00727,53412.0,33403.0,16884,31.61
00728,37322.0,20351.0,18025,48.3
00729,47653.0,28765.0,15732,33.01
00730,31976.0,18077.0,16527,51.69
00731,10221.0,16917.0,5744,56.2
00735,11159.0,23009.0,4630,41.49
00736,45528.0,28652.0,16803,36.91
00738,29797.0,25365.0,12093,40.58
00739,34595.0,26801.0,12705,36.72
00740,1959.0,23173.0,1021,52.12
00741,3733.0,25827.0,1901,50.92
00745,47077.0,26980.0,17184,36.5
00751,19596.0,20947.0,9591,48.94
00754,36822.0,21193.0,16503,44.82
00757,19974.0,23350.0,9079,45.45
00765,8147.0,17531.0,4850,59.53
00766,21829.0,24906.0,9081,41.6
00767,30453.0,21414.0,14928,49.02
00769,33953.0,20514.0,17703,52.14
00771,35165.0,25662.0,13290,37.79
00772,16961.0,18408.0,8711,51.36
00773,17631.0,23769.0,7707,43.71
00775,1281.0,27614.0,267,20.84
00777,37243.0,28175.0,12557,33.72
00778,40391.0,39564.0,12871,31.87
00780,13612.0,26483.0,5512,40.49
00782,18397.0,17090.0,9816,53.36
00783,34266.0,24429.0,14794,43.17
00784,35405.0,20347.0,16215,45.8
00786,135.0,,72,53.33
00791,45912.0,25925.0,17133,37.32
00794,28450.0,22128.0,14008,49.24
00795,43212.0,23391.0,18578,42.99
00901,6762.0,25810.0,2320,34.31
00906,46.0,,0,0.0
00907,15911.0,42116.0,3901,24.52
00909,5466.0,26066.0,2336,42.74
00911,7430.0,44008.0,2021,27.2
00912,6219.0,29418.0,1895,30.47
00913,6700.0,6229.0,4885,72.91
00915,24484.0,14502.0,16161,66.01
00917,18216.0,19516.0,9105,49.98
00918,16379.0,36872.0,4744,28.96
00920,16403.0,29914.0,5936,36.19
00921,34197.0,21797.0,15416,45.08
00923,24826.0,18482.0,12298,49.54
00924,47800.0,22433.0,21933,45.88
00925,4777.0,14940.0,2506,52.46
00926,93308.0,39543.0,23812,25.52
00927,13675.0,39838.0,3193,23.35
00934,80.0,,0,0.0
00949,66714.0,33380.0,21451,32.15
00950,,,0,
00951,399.0,22222.0,213,53.38
00952,8488.0,21960.0,3388,39.92
00953,66475.0,33888.0,22024,33.13
00956,67050.0,28674.0,24751,36.91
00957,40357.0,29663.0,13684,33.91
00959,46409.0,31400.0,15830,34.11
00960,3340.0,,34,1.02
00961,28891.0,37015.0,8108,28.06
00962,19213.0,20134.0,9524,49.57
00965,5886.0,16516.0,2719,46.19
00966,17715.0,56421.0,3319,18.74
00968,3488.0,60353.0,339,9.72
00969,41619.0,58205.0,8393,20.17
00971,25499.0,32098.0,8218,32.23
00976,61306.0,38087.0,18266,29.79
00979,15597.0,35521.0,3602,23.09
00982,13839.0,26550.0,5706,41.23
00983,31583.0,33930.0,9834,31.14
00985,31783.0,35012.0,8721,27.44
00987,55039.0,40295.0,15022,27.29
01001,16136.0,71924.0,1130,7.0
01002,24726.0,69411.0,4982,20.15
01003,12458.0,,9,0.07
01005,4786.0,97390.0,588,12.29
01007,15406.0,99056.0,1340,8.7
01008,1324.0,90625.0,63,4.76
01009,790.0,70763.0,118,14.94
01010,3694.0,101477.0,216,5.85
01011,1205.0,87012.0,50,4.15
01012,387.0,75526.0,40,10.34
01013,22950.0,64039.0,3723,16.22
01020,30230.0,70971.0,4202,13.9
01022,2045.0,56307.0,343,16.77
01026,1005.0,98438.0,36,3.58
01027,17678.0,73657.0,1508,8.53
01028,16283.0,100997.0,467,2.87
01029,652.0,99188.0,16,2.45
01030,12374.0,92485.0,804,6.5
01031,1715.0,58125.0,192,11.2
01032,503.0,79583.0,54,10.74
01033,6088.0,110188.0,281,4.62
01034,2100.0,103603.0,200,9.52
01035,5299.0,117580.0,161,3.04
01036,4937.0,110703.0,96,1.94
01037,486.0,84022.0,21,4.32
01038,2534.0,112083.0,144,5.68
01039,1660.0,115114.0,66,3.98
01040,37949.0,51892.0,8774,23.12
01050,2573.0,96328.0,277,10.77
01053,2033.0,88646.0,167,8.21
01054,1704.0,113750.0,154,9.04
01056,20846.0,78981.0,1713,8.22
01057,8200.0,90436.0,984,12.0
01060,15237.0,75077.0,2022,13.27
01062,9188.0,87800.0,983,10.7
01063,2121.0,250001.0,0,0.0
01066,115.0,,67,58.26
01068,1623.0,96207.0,98,6.04
01069,9077.0,79725.0,756,8.33
01070,593.0,72083.0,89,15.01
01071,1219.0,107292.0,55,4.51
01072,1447.0,103188.0,74,5.11
01073,6212.0,125534.0,205,3.3
01074,749.0,76859.0,312,41.66
01075,17410.0,93646.0,1103,6.34
01077,9222.0,108833.0,563,6.1
01079,282.0,,47,16.67
01080,2308.0,87188.0,131,5.68
01081,1704.0,87337.0,87,5.11
01082,10418.0,71023.0,982,9.43
01083,2746.0,92558.0,289,10.52
01084,101.0,91667.0,11,10.89
01085,41466.0,83821.0,4183,10.09
01088,654.0,53472.0,50,7.65
01089,28635.0,70401.0,2981,10.41
01092,1123.0,70938.0,36,3.21
01093,149.0,,4,2.68
01094,64.0,109000.0,0,0.0
01095,14615.0,124682.0,615,4.21
01096,2566.0,105729.0,128,4.99
01097,45.0,,0,0.0
01098,1019.0,93000.0,39,3.83
01103,2336.0,21458.0,1035,44.31
01104,21745.0,47530.0,4717,21.69
01105,11469.0,22994.0,5340,46.56
01106,15961.0,143961.0,630,3.95
01107,12270.0,31969.0,4505,36.72
01108,27409.0,51851.0,8585,31.32
01109,31418.0,46821.0,6895,21.95
01118,15009.0,80906.0,2371,15.8
01119,14059.0,59172.0,1683,11.97
01128,3252.0,92125.0,270,8.3
01129,5993.0,92500.0,747,12.46
01144,,,0,
01151,9627.0,57113.0,1601,16.63
01201,45072.0,68879.0,6061,13.45
01220,8106.0,56285.0,1179,14.54
01222,611.0,84583.0,12,1.96
01223,2588.0,82773.0,210,8.11
01224,201.0,,6,2.99
01225,3234.0,72028.0,307,9.49
01226,6304.0,81168.0,329,5.22
01229,213.0,,0,0.0
01230,8813.0,82871.0,393,4.46
01235,2456.0,76699.0,195,7.94
01236,1593.0,91172.0,49,3.08
01237,2269.0,84419.0,143,6.3
01238,5893.0,74469.0,378,6.41
01240,5024.0,99745.0,423,8.42
01242,165.0,,11,6.67
01243,196.0,89063.0,25,12.76
01244,243.0,59655.0,8,3.29
01245,828.0,113750.0,60,7.25
01247,14967.0,55544.0,2206,14.74
01253,903.0,108068.0,24,2.66
01254,962.0,113304.0,51,5.3
01255,850.0,85417.0,32,3.76
01256,733.0,55000.0,107,14.6
01257,2331.0,80227.0,269,11.54
01258,191.0,127813.0,4,2.09
01259,778.0,125795.0,12,1.54
01260,20.0,,0,0.0
01262,1652.0,142679.0,214,12.95
01264,184.0,85313.0,9,4.89
01266,919.0,98828.0,91,9.9
01267,7985.0,98750.0,617,7.73
01270,1002.0,104961.0,39,3.89
01301,17876.0,54347.0,2677,14.98
01330,1711.0,81691.0,172,10.05
01331,13865.0,68345.0,1805,13.02
01337,2515.0,79274.0,172,6.84
01338,79.0,,0,0.0
01339,1361.0,72841.0,116,8.52
01340,1807.0,82578.0,118,6.53
01341,1605.0,93250.0,55,3.43
01342,1313.0,100917.0,226,17.21
01343,190.0,84271.0,18,9.47
01344,1639.0,74550.0,98,5.98
01346,453.0,111150.0,28,6.18
01347,114.0,72500.0,0,0.0
01349,753.0,69712.0,130,17.26
01350,115.0,64375.0,27,23.48
01351,2644.0,99375.0,230,8.7
01354,1831.0,90000.0,122,6.66
01355,963.0,80327.0,102,10.59
01360,2875.0,102470.0,241,8.38
01364,7668.0,54061.0,1614,21.05
01366,1173.0,107656.0,102,8.7
01367,574.0,89375.0,71,12.37
01368,1497.0,101875.0,197,13.16
01370,3641.0,76715.0,442,12.14
01373,4784.0,102578.0,247,5.16
01375,3653.0,61442.0,685,18.75
01376,5032.0,57857.0,507,10.08
01378,861.0,95000.0,67,7.78
01379,742.0,68750.0,93,12.53
01380,32.0,70893.0,7,21.88
01420,41677.0,70334.0,6263,15.03
01430,6450.0,115146.0,599,9.29
01431,3188.0,110536.0,89,2.79
01432,8124.0,105142.0,608,7.48
01434,1889.0,109651.0,161,8.52
01436,3720.0,88421.0,480,12.9
01438,192.0,,3,1.56
01440,21298.0,63526.0,2853,13.4
01450,11228.0,189355.0,479,4.27
01451,5359.0,206607.0,244,4.55
01452,4339.0,102344.0,315,7.26
01453,43635.0,82098.0,4311,9.88
01460,10150.0,146250.0,599,5.9
01462,11822.0,109884.0,611,5.17
01463,11693.0,126824.0,759,6.49
01464,7017.0,121875.0,122,1.74
01468,4157.0,110938.0,196,4.71
01469,6803.0,113162.0,440,6.47
01473,8289.0,101161.0,219,2.64
01474,2249.0,130156.0,211,9.38
01475,10194.0,85638.0,1071,10.51
01501,16780.0,101929.0,734,4.37
01503,3311.0,122411.0,155,4.68
01504,9211.0,98986.0,449,4.87
01505,4896.0,124732.0,427,8.72
01506,3442.0,71875.0,243,7.06
01507,13359.0,119809.0,443,3.32
01510,15430.0,93849.0,1290,8.36
01515,2120.0,76382.0,90,4.25
01516,9287.0,147859.0,460,4.95
01518,2835.0,111193.0,209,7.37
01519,7738.0,153750.0,378,4.88
01520,16864.0,147582.0,597,3.54
01521,2576.0,86806.0,130,5.05
01522,3021.0,118824.0,180,5.96
01523,8470.0,130444.0,220,2.6
01524,6110.0,93191.0,244,3.99
01525,,,0,
01527,13899.0,116000.0,533,3.83
01529,3156.0,115789.0,185,5.86
01531,925.0,99375.0,109,11.78
01532,15694.0,174358.0,563,3.59
01534,6097.0,134539.0,230,3.77
01535,4739.0,81010.0,549,11.58
01536,7119.0,105795.0,640,8.99
01537,1821.0,94261.0,179,9.83
01540,11521.0,118389.0,493,4.28
01541,3500.0,150577.0,153,4.37
01542,2572.0,107674.0,47,1.83
01543,9202.0,155504.0,195,2.12
01545,38440.0,136225.0,1471,3.83
01550,17806.0,59397.0,2842,15.96
01560,4914.0,98884.0,239,4.86
01561,,,0,
01562,11961.0,79086.0,915,7.65
01564,8111.0,136027.0,346,4.27
01566,7054.0,135802.0,92,1.3
01568,7926.0,161429.0,175,2.21
01569,14127.0,122458.0,571,4.04
01570,17674.0,68934.0,2644,14.96
01571,11886.0,85179.0,819,6.89
01581,21591.0,134474.0,1072,4.97
01583,7516.0,100427.0,554,7.37
01585,4942.0,70753.0,449,9.09
01588,10357.0,88735.0,1093,10.55
01590,9287.0,155938.0,420,4.52
01602,25791.0,94351.0,3176,12.31
01603,21034.0,63646.0,3522,16.74
01604,39988.0,72911.0,6035,15.09
01605,31086.0,54805.0,7068,22.74
01606,22269.0,92537.0,1979,8.89
01607,8755.0,66365.0,1428,16.31
01608,4951.0,45962.0,1851,37.39
01609,23184.0,61411.0,4635,19.99
01610,28719.0,43757.0,8389,29.21
01611,2401.0,118389.0,83,3.46
01612,4996.0,133750.0,70,1.4
01701,32270.0,127000.0,1865,5.78
01702,39761.0,78784.0,5741,14.44
01718,528.0,125972.0,0,0.0
01719,5468.0,151000.0,197,3.6
01720,23322.0,154101.0,804,3.45
01721,18694.0,127106.0,761,4.07
01730,14478.0,158286.0,587,4.05
01731,1745.0,101194.0,0,0.0
01740,5698.0,198475.0,151,2.65
01741,5209.0,250001.0,107,2.05
01742,18337.0,211435.0,431,2.35
01745,660.0,180833.0,0,0.0
01746,14964.0,154684.0,474,3.17
01747,6024.0,115216.0,253,4.2
01748,19050.0,204418.0,631,3.31
01749,19959.0,107202.0,934,4.68
01752,41398.0,95047.0,3769,9.1
01754,10663.0,119549.0,789,7.4
01756,6266.0,129837.0,372,5.94
01757,30473.0,92951.0,2496,8.19
01760,36520.0,134644.0,2026,5.55
01770,4404.0,247500.0,81,1.84
01772,9781.0,196680.0,396,4.05
01773,5257.0,197292.0,266,5.06
01775,7109.0,177862.0,352,4.95
01776,19067.0,234634.0,484,2.54
01778,13915.0,219531.0,578,4.15
01801,41205.0,107754.0,3193,7.75
01803,26068.0,142421.0,1443,5.54
01810,35608.0,167591.0,1242,3.49
01821,30203.0,142564.0,1223,4.05
01824,26628.0,141337.0,1206,4.53
01826,32373.0,111451.0,2134,6.59
01827,3375.0,202379.0,33,0.98
01830,26685.0,79784.0,3853,14.44
01832,26065.0,81141.0,2624,10.07
01833,8380.0,153565.0,273,3.26
01834,6747.0,135521.0,283,4.19
01835,14637.0,108275.0,585,4.0
01840,7092.0,34630.0,1949,27.48
01841,52761.0,54525.0,9988,18.93
01843,28444.0,72163.0,3944,13.87
01844,53015.0,103292.0,4296,8.1
01845,31881.0,134319.0,2325,7.29
01850,16983.0,67581.0,3061,18.02
01851,32308.0,87962.0,5253,16.26
01852,36700.0,77058.0,4839,13.19
01854,28808.0,70397.0,4468,15.51
01860,6707.0,116477.0,553,8.25
01862,11703.0,131214.0,617,5.27
01863,9592.0,136284.0,327,3.41
01864,15634.0,150820.0,441,2.82
01867,25474.0,163407.0,691,2.71
01876,30962.0,126795.0,902,2.91
01879,12435.0,144167.0,598,4.81
01880,27258.0,130419.0,1231,4.52
01886,24584.0,181523.0,577,2.35
01887,23195.0,161473.0,687,2.96
01890,22862.0,218176.0,889,3.89
