zip_code,population,median_hh_income,poverty_count,%_poverty
00601,1357.0,18355.0,939,69.2
00602,21360.0,22081.0,9947,46.57
00603,4924.0,21034.0,2415,49.05
00606,379.0,19234.0,213,56.2
00610,15868.0,23513.0,7208,45.42
00611,65.0,,0,0.0
00612,27929.0,25647.0,9817,35.15
00616,4770.0,21726.0,1767,37.04
00617,11226.0,19428.0,5381,47.93
00622,1155.0,,392,33.94
00623,6198.0,22167.0,2740,44.21
00624,1663.0,17000.0,921,55.38
00627,2419.0,26033.0,1076,44.48
00631,3.0,,0,0.0
00636,70.0,,70,100.0
00637,2853.0,18648.0,1249,43.78
00638,8660.0,20329.0,4872,56.26
00641,2168.0,15903.0,1194,55.07
00646,18677.0,31097.0,5398,28.9
00647,310.0,20227.0,133,42.9
00650,5923.0,23298.0,2628,44.37
00652,2630.0,33136.0,783,29.77
00653,667.0,9597.0,426,63.87
00656,1128.0,28092.0,530,46.99
00659,4433.0,29260.0,1174,26.48
00660,1022.0,28194.0,230,22.5
00662,6590.0,23256.0,2849,43.23
00664,1435.0,22262.0,579,40.35
00667,2952.0,32928.0,1092,36.99
00669,1957.0,20543.0,1034,52.84
00670,609.0,32596.0,161,26.44
00674,22428.0,21491.0,10120,45.12
00676,3331.0,26184.0,1328,39.87
00677,10662.0,24608.0,5080,47.65
00678,3536.0,27694.0,1677,47.43
00680,3595.0,23478.0,1474,41.0
00682,3121.0,28134.0,1137,36.43
00683,2804.0,22000.0,1167,41.62
00685,3904.0,17411.0,1657,42.44
00687,15900.0,23099.0,7926,49.85
00688,3049.0,25883.0,1078,35.36
00690,1017.0,,591,58.11
00692,15916.0,25045.0,6438,40.45
00693,27419.0,23834.0,10887,39.71
00694,70.0,,28,40.0
00698,3440.0,25000.0,1333,38.75
00703,7373.0,24672.0,2893,39.24
00704,4398.0,21790.0,2075,47.18
00705,16876.0,21285.0,7635,45.24
00707,867.0,19315.0,516,59.52
00714,2841.0,19183.0,1497,52.69
00715,1041.0,15649.0,780,74.93
00716,10833.0,14299.0,6145,56.72
00717,5885.0,12032.0,3211,54.56
00718,1081.0,25083.0,449,41.54
00719,15812.0,20120.0,8751,55.34
00720,9603.0,17890.0,5242,54.59
00723,724.0,13705.0,248,34.25
00725,16629.0,30898.0,6037,36.3
00727,12366.0,37763.0,4007,32.4
00728,11128.0,19414.0,4865,43.72
00729,11416.0,35983.0,2665,23.34
00730,18091.0,18173.0,9510,52.57
00731,5277.0,15548.0,3120,59.12
00735,1494.0,40339.0,557,37.28
00736,12091.0,28514.0,4488,37.12
00738,11466.0,26303.0,4330,37.76
00739,7939.0,26169.0,3062,38.57
00740,602.0,24199.0,265,44.02
00741,233.0,,96,41.2
00745,16766.0,29027.0,5479,32.68
00751,12802.0,20273.0,6412,50.09
00754,1987.0,20188.0,826,41.57
00757,13757.0,22442.0,6455,46.92
00765,628.0,35174.0,263,41.88
00766,9266.0,23125.0,3826,41.29
00767,1006.0,27679.0,488,48.51
00769,23553.0,20042.0,12126,51.48
00771,855.0,42143.0,208,24.33
00772,1238.0,22500.0,645,52.1
00773,6505.0,25410.0,2692,41.38
00775,30.0,,13,43.33
00777,6981.0,30250.0,2238,32.06
00778,10252.0,37817.0,3311,32.3
00780,8118.0,24392.0,3370,41.51
00782,8250.0,14970.0,4934,59.81
00783,14933.0,22493.0,6695,44.83
00784,9880.0,19100.0,4585,46.41
00786,19.0,,0,0.0
00791,2283.0,42903.0,742,32.5
00794,12088.0,20674.0,5585,46.2
00795,32936.0,22375.0,14621,44.39
00901,2335.0,31688.0,651,27.88
00906,,,0,
00907,5620.0,46250.0,907,16.14
00909,1516.0,19830.0,570,37.6
00911,2482.0,50313.0,697,28.08
00912,1843.0,32036.0,703,38.14
00913,1290.0,5285.0,967,74.96
00915,4679.0,18638.0,2828,60.44
00917,4718.0,18588.0,1940,41.12
