zip_code,population,median_hh_income,poverty_count,%_poverty
00601,13904.0,19054.0,8330,59.91
00602,13781.0,20827.0,6211,45.07
00603,35550.0,18893.0,16891,47.51
00606,3697.0,16843.0,2027,54.83
00610,6582.0,24226.0,2963,45.02
00611,861.0,30094.0,309,35.89
00612,16305.0,24334.0,6505,39.9
00616,2238.0,22171.0,1056,47.18
00617,5141.0,24179.0,2196,42.72
00622,3948.0,28472.0,1789,45.31
00623,19851.0,27525.0,6453,32.51
00624,16401.0,21268.0,8158,49.74
00627,24474.0,25275.0,9145,37.37
00631,1293.0,20321.0,696,53.83
00636,754.0,18259.0,639,84.75
00637,13227.0,19521.0,6072,45.91
00638,6008.0,20786.0,3789,63.07
00641,12759.0,18219.0,6553,51.36
00646,11388.0,40590.0,2957,25.97
00647,2268.0,17389.0,1467,64.68
00650,4380.0,19843.0,2267,51.76
00652,1156.0,38594.0,382,33.04
00653,5188.0,15225.0,3409,65.71
00656,14043.0,21049.0,7109,50.62
00659,26676.0,24929.0,10542,39.52
00660,4525.0,25638.0,1564,34.56
00662,21410.0,19933.0,10305,48.13
00664,8374.0,19602.0,4505,53.8
00667,11726.0,19384.0,6468,55.16
00669,22257.0,19468.0,12171,54.68
00670,5309.0,15388.0,3045,57.36
00674,9716.0,21347.0,4699,48.36
00676,27681.0,19881.0,12939,46.74
00677,3340.0,21968.0,1264,37.84
00678,14542.0,20307.0,6977,47.98
00680,7318.0,22695.0,3022,41.3
00682,4197.0,25172.0,1846,43.98
00683,19643.0,18316.0,9680,49.28
00685,29008.0,18188.0,15224,52.48
00687,7887.0,21511.0,3713,47.08
00688,1915.0,25549.0,1099,57.39
00690,4399.0,24381.0,2196,49.92
00692,6943.0,26992.0,2587,37.26
00693,14222.0,24417.0,6143,43.19
00694,,,0,
00698,24225.0,22841.0,10916,45.06
00703,8884.0,20638.0,3669,41.3
00704,1090.0,24375.0,544,49.91
00705,5103.0,26610.0,2019,39.56
00707,858.0,14638.0,450,52.45
00714,6951.0,19470.0,3637,52.32
00715,537.0,15000.0,368,68.53
00716,12466.0,23497.0,5251,42.12
00717,6372.0,14420.0,3294,51.69
00718,4507.0,24698.0,1696,37.63
00719,9916.0,21728.0,5092,51.35
00720,7324.0,23319.0,3263,44.55
00723,777.0,15833.0,415,53.41
00725,34630.0,25929.0,13638,39.38
00727,23179.0,32129.0,7271,31.37
00728,18795.0,20283.0,9904,52.69
00729,10542.0,29622.0,3749,35.56
00730,10431.0,17204.0,5242,50.25
00731,4012.0,17972.0,2269,56.56
00735,1887.0,26661.0,623,33.02
00736,16219.0,31985.0,5639,34.77
00738,6300.0,21233.0,2890,45.87
00739,11636.0,28061.0,4150,35.67
00740,537.0,,229,42.64
00741,464.0,19000.0,241,51.94
00745,8796.0,26593.0,3384,38.47
00751,3501.0,23809.0,1672,47.76
00754,2413.0,25536.0,874,36.22
00757,3749.0,24534.0,1610,42.94
00765,1028.0,16947.0,384,37.35
