zip_code,population,median_hh_income,poverty_count,%_poverty
00601,50.0,,46,92.0
00602,1211.0,22976.0,424,35.01
00603,497.0,105417.0,88,17.71
00606,47.0,,14,29.79
00610,448.0,,190,42.41
00611,34.0,,0,0.0
00612,248.0,,95,38.31
00616,,,0,
00617,85.0,66827.0,14,16.47
00622,110.0,,49,44.55
00623,125.0,,52,41.6
00624,85.0,,41,48.24
00627,194.0,,88,45.36
00631,,,0,
00636,,,0,
00637,193.0,,49,25.39
00638,73.0,,48,65.75
00641,301.0,17011.0,183,60.8
00646,934.0,,123,13.17
00647,4.0,,4,100.0
00650,20.0,,0,0.0
00652,77.0,,23,29.87
00653,14.0,,0,0.0
00656,33.0,,7,21.21
00659,143.0,,44,30.77
00660,152.0,,25,16.45
00662,360.0,,171,47.5
00664,243.0,,111,45.68
00667,313.0,,246,78.59
00669,151.0,,95,62.91
00670,3.0,,0,0.0
00674,466.0,,225,48.28
00676,121.0,,63,52.07
00677,601.0,45417.0,197,32.78
00678,277.0,,104,37.55
00680,123.0,,52,42.28
00682,354.0,,89,25.14
00683,234.0,,138,58.97
00685,716.0,38009.0,195,27.23
00687,29.0,,29,100.0
00688,46.0,,46,100.0
00690,16.0,,0,0.0
00692,94.0,,14,14.89
00693,780.0,22115.0,281,36.03
00694,,,0,
00698,129.0,,83,64.34
00703,14.0,,14,100.0
00704,,,0,
00705,34.0,,34,100.0
00707,38.0,,38,100.0
00714,58.0,,29,50.0
00715,,,0,
00716,157.0,,53,33.76
00717,111.0,,31,27.93
00718,111.0,,0,0.0
00719,,,0,
00720,119.0,9432.0,81,68.07
00723,,,0,
00725,1060.0,23836.0,426,40.19
00727,558.0,,50,8.96
00728,87.0,,17,19.54
00729,26.0,,0,0.0
00730,212.0,,46,21.7
00731,,,0,
00735,141.0,68603.0,21,14.89
00736,20.0,,0,0.0
00738,164.0,2499.0,25,15.24
00739,41.0,,0,0.0
00740,49.0,,0,0.0
00741,28.0,,10,35.71
00745,196.0,,150,76.53
