zip_code,median_hh_income_total,median_hh_income_white,median_hh_income_african_american,median_hh_income_AIAN,median_hh_income_asian,median_hh_income_NHPI,median_hh_income_other,median_hh_income_two_or_more_races,median_hh_income_white_not_hispanic_or_latino,median_hh_income_hispanic_or_latino
00601,18571.0,19054.0,,,,,15000.0,18355.0,,18522.0
00602,21702.0,20827.0,25364.0,,,,14631.0,22081.0,22976.0,21572.0
00603,19243.0,18893.0,18886.0,,,,20965.0,21034.0,105417.0,18978.0
00606,20226.0,16843.0,,,,,23774.0,19234.0,,20167.0
00610,23732.0,24226.0,26979.0,,,,22240.0,23513.0,,23500.0
00611,22566.0,30094.0,,,,,20109.0,,,22566.0
00612,23831.0,24334.0,22269.0,,30521.0,,20323.0,25647.0,,23873.0
00616,21391.0,22171.0,,,,,20625.0,21726.0,,21391.0
00617,22010.0,24179.0,,,15625.0,,28214.0,19428.0,66827.0,21825.0
00622,26682.0,28472.0,39519.0,,,,23906.0,,,27143.0
00623,25614.0,27525.0,22767.0,35833.0,,,25035.0,22167.0,,25577.0
00624,21091.0,21268.0,43088.0,,,,19874.0,17000.0,,21209.0
00627,26094.0,25275.0,21250.0,,,,31997.0,26033.0,,26166.0
00631,18295.0,20321.0,,,,,,,,18295.0
00636,,18259.0,,,,,,,,
00637,20665.0,19521.0,,,,,23297.0,18648.0,,20642.0
00638,20878.0,20786.0,31786.0,23971.0,,,24776.0,20329.0,,20968.0
00641,17839.0,18219.0,21435.0,,,,17545.0,15903.0,17011.0,17830.0
00646,33184.0,40590.0,18703.0,,,,33806.0,31097.0,,32760.0
00647,20357.0,17389.0,,,,,27920.0,20227.0,,20357.0
00650,19811.0,19843.0,,,,,10920.0,23298.0,,19764.0
00652,31653.0,38594.0,,,,,24292.0,33136.0,,30968.0
00653,15225.0,15225.0,,,,,16939.0,9597.0,,15206.0
00656,21511.0,21049.0,,,,,18919.0,28092.0,,21641.0
00659,27297.0,24929.0,24135.0,,,,36360.0,29260.0,,27102.0
00660,24829.0,25638.0,27625.0,,,,24132.0,28194.0,,24688.0
00662,20673.0,19933.0,22008.0,,,,19423.0,23256.0,,20472.0
00664,18065.0,19602.0,4290.0,,,,14594.0,22262.0,,18263.0
00667,18729.0,19384.0,42212.0,,,,16742.0,32928.0,,18729.0
00669,19198.0,19468.0,32900.0,,,,15867.0,20543.0,,19242.0
00670,16278.0,15388.0,34844.0,,,,15947.0,32596.0,,16420.0
00674,20039.0,21347.0,15833.0,,,,17448.0,21491.0,,20012.0
00676,21230.0,19881.0,36417.0,,,,24814.0,26184.0,,21344.0
00677,24746.0,21968.0,26284.0,,,,25121.0,24608.0,45417.0,23587.0
00678,22994.0,20307.0,,,,,26179.0,27694.0,,23084.0
00680,17857.0,22695.0,19069.0,,,,16876.0,23478.0,,17829.0
00682,18067.0,25172.0,,,,,15954.0,28134.0,,17900.0
00683,18231.0,18316.0,,,,,16578.0,22000.0,,18253.0
00685,17909.0,18188.0,16283.0,,,,17457.0,17411.0,38009.0,17780.0
00687,23010.0,21511.0,26328.0,,,,25530.0,23099.0,,23010.0
00688,18014.0,25549.0,,,,,13575.0,25883.0,,18014.0
00690,24386.0,24381.0,21382.0,,,,,,,24490.0
00692,25486.0,26992.0,22850.0,,,,22963.0,25045.0,,25427.0
