zip_code,population_total,population_white,population_african_american,population_AIAN,population_asian,population_NHPI,population_other,population_two_or_more_races,population_white_not_hispanic_or_latino,population_hispanic_or_latino
00601,16721.0,13904.0,314.0,7.0,19.0,,1120.0,1357.0,50.0,16630.0
00602,37510.0,13781.0,520.0,73.0,44.0,,1732.0,21360.0,1211.0,35950.0
00603,48317.0,35550.0,1572.0,32.0,8.0,,6231.0,4924.0,497.0,47521.0
00606,5435.0,3697.0,12.0,,15.0,,1332.0,379.0,47.0,5373.0
00610,25413.0,6582.0,525.0,1.0,,,2437.0,15868.0,448.0,24663.0
00611,1522.0,861.0,49.0,,,,547.0,65.0,34.0,1488.0
00612,62462.0,16305.0,1279.0,40.0,517.0,,16392.0,27929.0,248.0,62014.0
00616,9836.0,2238.0,487.0,,152.0,,2189.0,4770.0,,9783.0
00617,22699.0,5141.0,678.0,64.0,284.0,,5306.0,11226.0,85.0,22495.0
00622,7950.0,3948.0,383.0,29.0,,,2435.0,1155.0,110.0,7840.0
00623,39005.0,19851.0,2052.0,169.0,200.0,,10535.0,6198.0,125.0,38654.0
00624,21374.0,16401.0,358.0,,24.0,,2928.0,1663.0,85.0,21217.0
00627,32753.0,24474.0,727.0,46.0,,,5087.0,2419.0,194.0,32451.0
00631,1357.0,1293.0,8.0,,,,53.0,3.0,,1357.0
00636,1071.0,754.0,,,,,247.0,70.0,,1071.0
00637,22884.0,13227.0,181.0,19.0,10.0,,6594.0,2853.0,193.0,22663.0
00638,17410.0,6008.0,922.0,243.0,80.0,,1497.0,8660.0,73.0,17337.0
00641,23962.0,12759.0,389.0,18.0,67.0,,8561.0,2168.0,301.0,23532.0
00646,36099.0,11388.0,2014.0,32.0,,,3988.0,18677.0,934.0,35065.0
00647,4611.0,2268.0,234.0,,4.0,,1795.0,310.0,4.0,4556.0
00650,13457.0,4380.0,98.0,,233.0,,2823.0,5923.0,20.0,13437.0
00652,4492.0,1156.0,73.0,37.0,48.0,,548.0,2630.0,77.0,4415.0
00653,8665.0,5188.0,239.0,,,,2571.0,667.0,14.0,8613.0
00656,17815.0,14043.0,407.0,36.0,20.0,,2181.0,1128.0,33.0,17761.0
00659,37203.0,26676.0,1441.0,144.0,5.0,,4504.0,4433.0,143.0,36977.0
00660,15439.0,4525.0,516.0,,,,9376.0,1022.0,152.0,15156.0
00662,40705.0,21410.0,2591.0,75.0,33.0,28.0,9978.0,6590.0,360.0,39885.0
00664,14816.0,8374.0,312.0,,,,4695.0,1435.0,243.0,14573.0
00667,23116.0,11726.0,771.0,19.0,,,7648.0,2952.0,313.0,22639.0
00669,27534.0,22257.0,580.0,15.0,,,2725.0,1957.0,151.0,27268.0
00670,8553.0,5309.0,262.0,,,,2373.0,609.0,3.0,8513.0
00674,39288.0,9716.0,840.0,,39.0,,6265.0,22428.0,466.0,38327.0
00676,36836.0,27681.0,1518.0,116.0,,,4190.0,3331.0,121.0,36626.0
00677,15432.0,3340.0,354.0,20.0,,,1056.0,10662.0,601.0,14699.0
00678,24848.0,14542.0,755.0,77.0,,,5938.0,3536.0,277.0,24356.0
00680,42817.0,7318.0,770.0,28.0,33.0,,31073.0,3595.0,123.0,42662.0
00682,29939.0,4197.0,888.0,43.0,84.0,,21606.0,3121.0,354.0,29424.0
00683,29431.0,19643.0,307.0,,9.0,41.0,6627.0,2804.0,234.0,29165.0
00685,40323.0,29008.0,907.0,41.0,,,6463.0,3904.0,716.0,39402.0
00687,28534.0,7887.0,1336.0,12.0,,,3399.0,15900.0,29.0,28505.0
00688,10985.0,1915.0,84.0,,26.0,,5911.0,3049.0,46.0,10939.0
00690,6275.0,4399.0,227.0,,,,632.0,1017.0,16.0,6259.0
00692,32717.0,6943.0,1429.0,,,,8429.0,15916.0,94.0,32493.0
00693,55725.0,14222.0,2559.0,,10.0,,11515.0,27419.0,780.0,54703.0
00694,125.0,,,,,,55.0,70.0,,125.0
00698,32945.0,24225.0,646.0,24.0,,,4610.0,3440.0,129.0,32679.0
00703,24642.0,8884.0,1944.0,312.0,,,6129.0,7373.0,14.0,24543.0
00704,6433.0,1090.0,559.0,,,,386.0,4398.0,,6331.0
00705,24475.0,5103.0,1289.0,130.0,,,1077.0,16876.0,34.0,24427.0
00707,10400.0,858.0,2060.0,,,,6615.0,867.0,38.0,10362.0
00714,15573.0,6951.0,3094.0,,,,2687.0,2841.0,58.0,15474.0
00715,2003.0,537.0,173.0,,,,252.0,1041.0,,2003.0
00716,27705.0,12466.0,1503.0,39.0,,,2864.0,10833.0,157.0,27459.0
00717,14651.0,6372.0,598.0,22.0,12.0,,1762.0,5885.0,111.0,14497.0
00718,23174.0,4507.0,298.0,,,,17288.0,1081.0,111.0,22928.0
00719,29732.0,9916.0,2130.0,,34.0,,1840.0,15812.0,,29720.0
00720,20974.0,7324.0,936.0,8.0,,,3103.0,9603.0,119.0,20825.0
00723,15835.0,777.0,3269.0,,,,11065.0,724.0,,15835.0
00725,76246.0,34630.0,6578.0,234.0,224.0,28.0,17923.0,16629.0,1060.0,74728.0
00727,53412.0,23179.0,4876.0,103.0,186.0,,12702.0,12366.0,558.0,52533.0
00728,37322.0,18795.0,2166.0,20.0,95.0,,5118.0,11128.0,87.0,37080.0
00729,47653.0,10542.0,6978.0,38.0,313.0,,18366.0,11416.0,26.0,47611.0
00730,31976.0,10431.0,1343.0,6.0,,,2105.0,18091.0,212.0,31693.0
00731,10221.0,4012.0,390.0,,,,542.0,5277.0,,10221.0
00735,11159.0,1887.0,534.0,36.0,56.0,,7152.0,1494.0,141.0,10962.0
00736,45528.0,16219.0,3993.0,459.0,71.0,,12695.0,12091.0,20.0,45378.0
00738,29797.0,6300.0,1817.0,19.0,147.0,,10048.0,11466.0,164.0,29553.0
00739,34595.0,11636.0,3876.0,262.0,23.0,,10859.0,7939.0,41.0,34484.0
00740,1959.0,537.0,52.0,,,,768.0,602.0,49.0,1910.0
00741,3733.0,464.0,204.0,,,,2832.0,233.0,28.0,3705.0
00745,47077.0,8796.0,5489.0,107.0,161.0,,15758.0,16766.0,196.0,46719.0
00751,19596.0,3501.0,2251.0,43.0,,,999.0,12802.0,42.0,19479.0
