zip_code,poverty_count_total,poverty_count_white,poverty_count_african_american,poverty_count_AIAN,poverty_count_asian,poverty_count_NHPI,poverty_count_other,poverty_count_two_or_more_races,poverty_count_white_not_hispanic_or_latino,poverty_count_hispanic_or_latino
00601,10199,8330,220,0,0,0,710,939,46,10153
00602,17504,6211,211,47,0,0,1088,9947,424,16996
00603,22683,16891,639,24,0,0,2714,2415,88,22452
00606,2984,2027,12,0,15,0,717,213,14,2955
00610,11145,2963,16,0,0,0,958,7208,190,10941
00611,610,309,34,0,0,0,267,0,0,610
00612,25221,6505,409,4,217,0,8269,9817,95,25048
00616,4383,1056,378,0,114,0,1068,1767,0,4330
00617,10185,2196,295,0,155,0,2158,5381,14,10171
00622,3517,1789,95,11,0,0,1230,392,49,3468
00623,14496,6453,872,83,0,0,4348,2740,52,14360
00624,10916,8158,113,0,24,0,1700,921,41,10803
00627,12696,9145,475,0,0,0,2000,1076,88,12500
00631,739,696,8,0,0,0,35,0,0,739
00636,841,639,0,0,0,0,132,70,0,841
00637,10146,6072,95,10,10,0,2710,1249,49,10069
00638,10040,3789,361,243,80,0,695,4872,48,9992
00641,12807,6553,117,0,48,0,4895,1194,183,12547
00646,10583,2957,972,0,0,0,1256,5398,123,10460
00647,2852,1467,200,0,0,0,1052,133,4,2801
00650,7090,2267,0,0,188,0,2007,2628,0,7090
00652,1472,382,43,37,0,0,227,783,23,1449
00653,5632,3409,135,0,0,0,1662,426,0,5627
00656,8695,7109,195,0,20,0,841,530,7,8668
00659,13713,10542,185,87,0,0,1725,1174,44,13632
00660,6171,1564,110,0,0,0,4267,230,25,6116
00662,18888,10305,964,66,0,0,4704,2849,171,18456
00664,8160,4505,309,0,0,0,2767,579,111,8049
00667,12174,6468,189,19,0,0,4406,1092,246,11764
00669,14988,12171,131,15,0,0,1637,1034,95,14803
00670,4574,3045,187,0,0,0,1181,161,0,4537
00674,18162,4699,294,0,24,0,3025,10120,225,17835
00676,16834,12939,464,116,0,0,1987,1328,63,16731
00677,6870,1264,96,9,0,0,421,5080,197,6625
00678,11209,6977,292,60,0,0,2203,1677,104,10975
00680,22153,3022,441,8,23,0,17185,1474,52,22085
00682,15900,1846,232,15,84,0,12586,1137,89,15710
00683,14721,9680,153,0,0,0,3721,1167,138,14572
00685,20937,15224,433,0,0,0,3623,1657,195,20566
00687,13879,3713,666,0,0,0,1574,7926,29,13850
00688,5691,1099,49,0,26,0,3439,1078,46,5645
00690,3108,2196,126,0,0,0,195,591,0,3108
00692,13201,2587,526,0,0,0,3650,6438,14,13174
00693,23418,6143,1007,0,0,0,5381,10887,281,22971
00694,59,0,0,0,0,0,31,28,0,59
00698,14695,10916,274,0,0,0,2172,1333,83,14492
00703,10963,3669,1238,178,0,0,2985,2893,14,10890
00704,2788,544,31,0,0,0,138,2075,0,2788
00705,10901,2019,722,104,0,0,421,7635,34,10867
00707,5520,450,909,0,0,0,3645,516,38,5482
00714,8463,3637,2001,0,0,0,1328,1497,29,8393
00715,1329,368,124,0,0,0,57,780,0,1329
00716,13557,5251,960,39,0,0,1162,6145,53,13494
00717,7520,3294,155,0,0,0,860,3211,31,7469
00718,11068,1696,192,0,0,0,8731,449,0,11034
00719,15034,5092,721,0,0,0,470,8751,0,15034
00720,10894,3263,427,8,0,0,1954,5242,81,10783
00723,7528,415,1694,0,0,0,5171,248,0,7528
00725,30008,13638,2472,50,160,0,7651,6037,426,29437
00727,16884,7271,1898,79,0,0,3629,4007,50,16728
00728,18025,9904,935,7,21,0,2293,4865,17,17999
00729,15732,3749,2454,28,74,0,6762,2665,0,15732
00730,16527,5242,693,6,0,0,1076,9510,46,16480
00731,5744,2269,138,0,0,0,217,3120,0,5744
00735,4630,623,158,0,0,0,3292,557,21,4609
00736,16803,5639,1497,121,71,0,4987,4488,0,16699
00738,12093,2890,855,19,40,0,3959,4330,25,12043
00739,12705,4150,1468,0,0,0,4025,3062,0,12689
00740,1021,229,19,0,0,0,508,265,0,1021
00741,1901,241,130,0,0,0,1434,96,10,1891
00745,17184,3384,1599,98,39,0,6585,5479,150,17006
00751,9591,1672,1060,9,0,0,438,6412,1,9568
00754,16503,874,2860,0,103,0,11840,826,6,16378
00757,9079,1610,663,0,0,0,351,6455,16,9063
00765,4850,384,31,0,17,0,4155,263,0,4850
00766,9081,2833,1227,16,0,0,1179,3826,0,9081
00767,14928,948,2935,0,0,0,10557,488,24,14904
00769,17703,3171,1501,9,0,0,896,12126,54,17630
00771,13290,748,2664,20,0,0,9650,208,11,13261
00772,8711,511,3382,0,19,0,4154,645,17,8675
00773,7707,1318,163,0,0,0,3534,2692,34,7646
00775,267,48,16,0,0,0,190,13,19,235
00777,12557,4703,1482,0,28,0,4106,2238,0,12532
00778,12871,4274,1576,16,72,0,3622,3311,122,12522
00780,5512,1367,655,0,0,0,120,3370,0,5512
00782,9816,2691,979,0,0,0,1212,4934,0,9816
00783,14794,4536,928,25,26,0,2584,6695,3,14765
00784,16215,7485,1458,1,0,0,2686,4585,3,16183
00786,72,55,17,0,0,0,0,0,0,72
00791,17133,2243,1123,0,0,0,13025,742,54,17079
00794,14008,6393,832,0,0,0,1198,5585,0,14008
00795,18578,2414,1026,0,0,0,517,14621,6,18572
00901,2320,838,375,0,0,0,456,651,74,2228
00906,0,0,0,0,0,0,0,0,0,0
00907,3901,1329,729,0,0,0,936,907,167,3627
00909,2336,384,472,14,0,0,896,570,25,2311
00911,2021,579,124,0,116,0,505,697,137,1738
00912,1895,153,247,0,0,0,792,703,7,1861
00913,4885,786,132,0,0,0,3000,967,239,4646
00915,16161,1597,1717,13,21,17,9968,2828,19,15914
00917,9105,1668,758,8,0,0,4731,1940,14,9067
00918,4744,1066,326,0,0,25,1478,1849,7,4725
00920,5936,1969,1538,0,0,0,1376,1053,0,5936
00921,15416,4789,2725,70,13,0,3959,3860,0,15345
00923,12298,2088,1210,0,34,0,6185,2781,96,12134
00924,21933,7758,4222,29,0,0,6106,3818,28,21886
00925,2506,585,257,52,0,0,1064,548,44,2436
00926,23812,6884,2885,131,84,0,5134,8694,83,23597
00927,3193,859,479,0,15,0,924,916,1,3192
00934,0,0,0,0,0,0,0,0,0,0
00949,21451,5734,1020,88,0,0,10198,4411,165,21243
00950,0,0,0,0,0,0,0,0,0,0
00951,213,14,63,0,0,0,11,125,0,213
00952,3388,937,318,0,0,0,1669,464,0,3388
00953,22024,8542,1182,0,0,0,4048,8252,213,21773
00956,24751,5413,742,0,0,0,9338,9258,134,24492
00957,13684,3044,794,58,0,0,5078,4710,74,13610
00959,15830,3476,1018,0,42,0,4997,6297,76,15727
00960,34,2,0,0,0,0,0,32,0,34
00961,8108,2234,547,0,86,0,2772,2469,0,8017
00962,9524,2706,984,0,0,0,1821,4013,117,9407
00965,2719,559,443,0,0,0,472,1245,0,2719
00966,3319,501,222,0,0,0,1004,1592,11,3308
00968,339,86,25,0,0,0,74,154,0,339
00969,8393,1703,721,51,0,0,2801,3117,64,8329
00971,8218,2189,403,15,0,0,2703,2908,0,8189
00976,18266,6835,2987,245,0,0,2072,6127,125,18094
00979,3602,984,203,0,25,0,1161,1229,121,3456
00982,5706,1629,1157,0,47,0,2070,803,10,5675
00983,9834,2866,1457,11,0,0,3652,1848,61,9773
00985,8721,2405,1344,0,0,0,3548,1424,52,8647
00987,15022,4566,2121,21,18,0,5123,3173,0,14976
