zip_code,%_poverty_total,%_poverty_white,%_poverty_african_american,%_poverty_AIAN,%_poverty_asian,%_poverty_NHPI,%_poverty_other,%_poverty_two_or_more_races,%_poverty_white_not_hispanic_or_latino,%_poverty_hispanic_or_latino
00601,61.0,59.91,70.06,0.0,0.0,,63.39,69.2,92.0,61.05
00602,46.66,45.07,40.58,64.38,0.0,,62.82,46.57,35.01,47.28
00603,46.95,47.51,40.65,75.0,0.0,,43.56,49.05,17.71,47.25
00606,54.9,54.83,100.0,,100.0,,53.83,56.2,29.79,55.0
00610,43.86,45.02,3.05,0.0,,,39.31,45.42,42.41,44.36
00611,40.08,35.89,69.39,,,,48.81,0.0,0.0,40.99
00612,40.38,39.9,31.98,10.0,41.97,,50.45,35.15,38.31,40.39
00616,44.56,47.18,77.62,,75.0,,48.79,37.04,,44.26
00617,44.87,42.72,43.51,0.0,54.58,,40.67,47.93,16.47,45.21
00622,44.24,45.31,24.8,37.93,,,50.51,33.94,44.55,44.23
00623,37.16,32.51,42.5,49.11,0.0,,41.27,44.21,41.6,37.15
00624,51.07,49.74,31.56,,100.0,,58.06,55.38,48.24,50.92
00627,38.76,37.37,65.34,0.0,,,39.32,44.48,45.36,38.52
00631,54.46,53.83,100.0,,,,66.04,0.0,,54.46
00636,78.52,84.75,,,,,53.44,100.0,,78.52
00637,44.34,45.91,52.49,52.63,100.0,,41.1,43.78,25.39,44.43
00638,57.67,63.07,39.15,100.0,100.0,,46.43,56.26,65.75,57.63
00641,53.45,51.36,30.08,0.0,71.64,,57.18,55.07,60.8,53.32
00646,29.32,25.97,48.26,0.0,,,31.49,28.9,13.17,29.83
00647,61.85,64.68,85.47,,0.0,,58.61,42.9,100.0,61.48
00650,52.69,51.76,0.0,,80.69,,71.09,44.37,0.0,52.76
00652,32.77,33.04,58.9,100.0,0.0,,41.42,29.77,29.87,32.82
00653,65.0,65.71,56.49,,,,64.64,63.87,0.0,65.33
00656,48.81,50.62,47.91,0.0,100.0,,38.56,46.99,21.21,48.8
