,State,Legal Status,Interest Rate (APR),Minimum Loan Amount,Maximum Loan Amount,Minimum Loan Term,Maximum Loan Term,Number of Rollovers,Restrictions,Finance Charges,Statute of Limitations,Database Loan Tracking,Number of Outstanding Loans,Cooling-off Period,Installment
0,Washington,Legal,391%* APR,Not Specified,$700 (*or 30% of gross monthly income),Not Specified,45 days,0,Allowed only 8 payday loans per 12-month period,<$500 = 15%;>$500 = 10%,6 years (from the last payment),Yes,,,
1,Oregon,Legal,154%*,,"$50,000 ",31 days,60 days,2,,,6 years (from the last payment),No,,,
2,California,Legal,460%* (369% on the average in 2019),,$300 ,Not Specified,31 days,0,,$17.64 per $100.0015% of the amount advanced (up to $45),4 years (from the last payment),No,1,None,No
3,Nevada,Legal,No Limit,Not Specified,25% of monthly gross income,Not Specified,35 days,Not Specified,,No Limit,6 years (from the last payment),Yes,1,,
4,Idaho,Legal,652%*,Not Specified,"$1,000 (or 25% of gross monthly income)",Not Specified,Not Specified,3,,No Limit,5 years (from the last payment),No,,,
5,Montana,Legal (restrictions apply),36% small loan cap,$50 ,$300 ,14 days,31 days,0,,$1.39 for a $100 loan given for 2 weeks,8 years (from the last payment),No,,,
6,Wyoming,Legal,261%*,Not Specified,No limit,Not Specified,One calendar month,0,,$30 (or 20% per month),10 years (from the last payment),No,,,
7,Utah,Legal,658%*,Not specified,No Limit,Not specified,70 days (10 weeks),Not specified (Extension can be up to 10 weeks or 70 days),,Not specified,6 years (from the last payment),No,No limit,None,
8,Arizona,Prohibited,36% usury cap,,,,,,,,,,,,
9,New Mexico,Prohibited,,,,,,,175% small loan cap,,,,,,
10,Colorado,Legal,36%,Not Specified,$500 ,6 months (180 days),Not Specified,1,,no more than 36% of the loan,3 years (from the last payment),No,,,
11,North Dakota,Legal,487%*,Not Specified,$500 ,Not Specified,60 days,1,,20% of the amount advanced,6 years (from the last payment),No,,,
12,South Dakota,Legal (restrictions apply),36% small loan cap,Not Specified,$500 ,Not Specified,Not Specified,4,,$1.39 for a $100 loan given for 2 weeks,6 years (from the last payment),No,,,
13,Nebraska,Legal,36%,Not Specified,$500 ,Not Specified,34 days,0,,,5 years (from the last payment),No,,,
