ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,state,ZCTA,Poverty Rate (%)
ZCTA5 00601,14361,10552,17059,72,00601,61.85591183539481
ZCTA5 00602,16807,18653,37655,72,00602,49.53658212720754
ZCTA5 00603,16049,23691,45929,72,00603,51.58178928345926
ZCTA5 00606,12119,4185,6392,72,00606,65.47246558197747
ZCTA5 00610,19898,12204,26535,72,00610,45.99208592425099
ZCTA5 00612,18741,27631,59163,72,00612,46.70317597146865
ZCTA5 00616,17007,4825,9998,72,00616,48.25965193038608
ZCTA5 00617,16984,11392,23740,72,00617,47.98652064026959
ZCTA5 00622,14615,3255,6653,72,00622,48.925296858560046
ZCTA5 00623,17130,21413,41620,72,00623,51.44882268140317
ZCTA5 00624,16701,12337,21803,72,00624,56.583956336284004
ZCTA5 00627,17000,15741,31500,72,00627,49.971428571428575
ZCTA5 00631,10244,1054,1499,72,00631,70.31354236157439
ZCTA5 00637,17405,10251,22266,72,00637,46.038803556992725
ZCTA5 00638,16843,8927,16262,72,00638,54.894846882302296
ZCTA5 00641,15792,13881,26658,72,00641,52.07067296871484
ZCTA5 00646,30573,12268,37056,72,00646,33.1066493955095
ZCTA5 00647,14223,3551,5809,72,00647,61.12928214839043
ZCTA5 00650,19764,7562,14521,72,00650,52.076303284897726
ZCTA5 00652,21987,1452,3554,72,00652,40.85537422622397
ZCTA5 00653,12072,6766,10471,72,00653,64.61656002292044
ZCTA5 00656,17355,10110,18418,72,00656,54.89195352372679
ZCTA5 00659,17715,18072,39845,72,00659,45.355753544986825
ZCTA5 00660,19030,6937,15905,72,00660,43.61521534108771
ZCTA5 00662,16834,21975,39390,72,00662,55.78827113480579
ZCTA5 00664,14595,8848,14412,72,00664,61.3932833749653
ZCTA5 00667,14013,14494,23118,72,00667,62.69573492516653
ZCTA5 00669,16922,13510,24548,72,00669,55.03503340394329
ZCTA5 00670,14245,4167,8280,72,00670,50.32608695652174
ZCTA5 00674,18299,18333,38815,72,00674,47.23174030658251
ZCTA5 00676,14992,19599,36120,72,00676,54.26079734219269
ZCTA5 00677,19943,5851,14050,72,00677,41.644128113879006
ZCTA5 00678,17144,12588,25580,72,00678,49.2103205629398
ZCTA5 00680,14217,23342,44490,72,00680,52.46572263429984
ZCTA5 00682,14706,17392,31425,72,00682,55.344470962609385
ZCTA5 00683,16332,14770,28821,72,00683,51.24735435966829
ZCTA5 00685,15185,19904,36929,72,00685,53.89802052587398
ZCTA5 00687,20941,13879,30880,72,00687,44.9449481865285
ZCTA5 00688,17874,6110,11703,72,00688,52.208835341365464
ZCTA5 00690,18288,2934,5722,72,00690,51.27577770010486
ZCTA5 00692,20585,15357,34555,72,00692,44.44219360439878
ZCTA5 00693,19576,24294,53151,72,00693,45.70751255855958
ZCTA5 00694,-666666666,19,64,72,00694,29.6875
ZCTA5 00698,14794,17183,35117,72,00698,48.930717316399466
ZCTA5 00703,18846,12397,25949,72,00703,47.774480712166174
ZCTA5 00704,17275,4406,8073,72,00704,54.57698501176762
ZCTA5 00705,20214,10010,22648,72,00705,44.198163193217944
ZCTA5 00707,20760,4885,10715,72,00707,45.590293980401306
ZCTA5 00714,17615,10471,17725,72,00714,59.074753173483785
ZCTA5 00715,12188,1906,2818,72,00715,67.63662171753016
ZCTA5 00716,17969,13360,27377,72,00716,48.80008766482814
ZCTA5 00717,12121,8897,15697,72,00717,56.6796203096133
ZCTA5 00718,19372,11989,25337,72,00718,47.318151320203654
ZCTA5 00719,18922,13157,28500,72,00719,46.164912280701756
ZCTA5 00720,15295,11552,20652,72,00720,55.936471043966684
ZCTA5 00723,16063,9141,16984,72,00723,53.82124352331606
ZCTA5 00725,21350,33738,80068,72,00725,42.136683818754065
ZCTA5 00727,31688,16492,52500,72,00727,31.41333333333333
ZCTA5 00728,19340,18076,36914,72,00728,48.96787126835347
ZCTA5 00729,21469,21080,50711,72,00729,41.56889037881328
ZCTA5 00730,15723,16095,30067,72,00730,53.53044866464896
ZCTA5 00731,15473,6803,12608,72,00731,53.95780456852792
ZCTA5 00735,18395,5094,12158,72,00735,41.89833854252344
ZCTA5 00736,21894,19344,45982,72,00736,42.06863555304249
ZCTA5 00738,19859,12248,29073,72,00738,42.12843531799264
ZCTA5 00739,20065,16176,36643,72,00739,44.1448571350599
ZCTA5 00740,12944,1287,1915,72,00740,67.20626631853786
ZCTA5 00741,22121,1787,4028,72,00741,44.36444885799404
ZCTA5 00745,22960,19433,49890,72,00745,38.95169372619763
ZCTA5 00751,18087,10007,20620,72,00751,48.53055286129971
ZCTA5 00754,19403,16064,36837,72,00754,43.60832858267503
ZCTA5 00757,19827,9867,21757,72,00757,45.350921542492074
ZCTA5 00765,14880,3923,8523,72,00765,46.02839375806641
