ZCTA Name,Median Household Income,Population Below Poverty Level,Total Population for Poverty Determination,ZCTA,Poverty Rate (%)
ZCTA5 29590,30985,869,2341,29590,37.120888509184105
ZCTA5 93306,54450,15853,73646,93306,21.525948456127963
ZCTA5 93660,39625,1057,4082,93660,25.89416952474277
ZCTA5 93110,93264,1332,14646,93110,9.094633346988939
ZCTA5 93212,42983,3911,13554,93212,28.85495056809798
ZCTA5 14895,48778,1242,8715,14895,14.251290877796901
ZCTA5 14006,56017,1663,9797,14006,16.97458405634378
ZCTA5 67514,46875,210,963,67514,21.806853582554517
ZCTA5 67844,47262,93,721,67844,12.89875173370319
ZCTA5 67861,59201,165,1913,67861,8.625196027182437
ZCTA5 67212,58867,4667,43923,67212,10.625412653962616
ZCTA5 67567,45682,78,654,67567,11.926605504587156
ZCTA5 67576,62083,210,2019,67576,10.401188707280832
ZCTA5 45237,38542,4837,21468,45237,22.53120924166201
ZCTA5 45788,66504,35,1176,45788,2.976190476190476
ZCTA5 45819,50417,44,285,45819,15.43859649122807
ZCTA5 83824,53125,48,337,83824,14.243323442136498
ZCTA5 83641,61726,325,3702,83641,8.779038357644517
ZCTA5 83312,-666666666,0,74,83312,0.0
ZCTA5 85016,66759,4492,35363,85016,12.702542205129655
ZCTA5 85029,50067,8683,47060,85029,18.45091372715682
ZCTA5 85325,29696,110,1270,85325,8.661417322834646
ZCTA5 85701,45862,1442,5237,85701,27.53484819553179
ZCTA5 85015,42038,12206,43848,85015,27.8370735267287
ZCTA5 84028,56458,156,573,84028,27.225130890052355
ZCTA5 84106,76751,3369,34862,84106,9.663817336928462
ZCTA5 84003,93741,2325,51515,84003,4.513248568378142
ZCTA5 84014,100230,460,17483,84014,2.6311273808842874
ZCTA5 84115,47651,5101,27230,84115,18.73301505692251
ZCTA5 84064,73015,71,1002,84064,7.0858283433133735
ZCTA5 84032,76699,1067,24101,84032,4.4272021907804655
ZCTA5 84108,107660,1607,19924,84108,8.065649467978316
ZCTA5 84601,51440,5220,33392,84601,15.632486823191183
ZCTA5 93001,66460,4487,31575,93001,14.210609659540777
ZCTA5 93234,31788,2996,7258,93234,41.27858914301461
ZCTA5 93307,42128,24624,85509,93307,28.796968740132616
ZCTA5 93536,84674,7492,63346,93536,11.827108262558014
ZCTA5 93546,69702,1140,9750,93546,11.692307692307692
